epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.299,1.06221,4.06475,0.95717,0.17658,0.44309,0.18598,0.15584,0.65232,2.21419,0.85949,0.00332763,0.00332763,0.00332763
2,199.991,0.82309,2.38443,0.89322,0.4971,0.7126,0.59505,0.50717,0.61471,1.40067,0.85578,0.00659502,0.00659502,0.00659502
3,297.378,0.80539,1.6724,0.89254,0.77447,0.85445,0.87235,0.73712,0.63626,0.87626,0.85916,0.00979641,0.00979641,0.00979641
4,394.082,0.75698,1.23836,0.88169,0.84145,0.92322,0.92994,0.8172,0.54807,0.68186,0.84371,0.009703,0.009703,0.009703
5,490.47,0.69446,0.99589,0.86913,0.90307,0.95575,0.95708,0.84401,0.52486,0.54705,0.83517,0.009604,0.009604,0.009604
6,587.015,0.6618,0.84525,0.8605,0.89961,0.934,0.9634,0.84563,0.54125,0.53937,0.83798,0.009505,0.009505,0.009505
7,683.594,0.63201,0.75919,0.8523,0.92123,0.96887,0.96994,0.86971,0.4835,0.46706,0.82565,0.009406,0.009406,0.009406
8,779.833,0.61489,0.69482,0.84833,0.9268,0.98233,0.97257,0.86938,0.48956,0.43742,0.8256,0.009307,0.009307,0.009307
9,876.339,0.59952,0.64598,0.84649,0.92746,0.96374,0.97237,0.87328,0.48401,0.43584,0.82497,0.009208,0.009208,0.009208
10,971.997,0.58556,0.61921,0.84183,0.93854,0.98279,0.97656,0.88062,0.46403,0.3837,0.81964,0.009109,0.009109,0.009109
11,1067.17,0.57769,0.59202,0.84199,0.9425,0.98523,0.98008,0.8926,0.4389,0.36713,0.81431,0.00901,0.00901,0.00901
12,1162.35,0.56329,0.56538,0.83919,0.94809,0.9858,0.98074,0.89872,0.42806,0.34808,0.81136,0.008911,0.008911,0.008911
13,1257.36,0.5562,0.54928,0.8358,0.93987,0.99262,0.97938,0.89532,0.42966,0.34488,0.81343,0.008812,0.008812,0.008812
14,1352.58,0.55095,0.52944,0.83529,0.95374,0.97588,0.98276,0.90147,0.42178,0.33292,0.81157,0.008713,0.008713,0.008713
15,1447.8,0.54314,0.51573,0.83425,0.94429,0.98989,0.98057,0.90093,0.42472,0.32346,0.81009,0.008614,0.008614,0.008614
16,1542.79,0.53621,0.50786,0.83285,0.95297,0.98405,0.9827,0.90624,0.41197,0.30952,0.80833,0.008515,0.008515,0.008515
17,1638.02,0.53229,0.49817,0.8334,0.94857,0.99095,0.98098,0.90245,0.41851,0.31241,0.81008,0.008416,0.008416,0.008416
18,1733.3,0.52709,0.49143,0.82984,0.95023,0.9862,0.98205,0.90926,0.40166,0.29839,0.80519,0.008317,0.008317,0.008317
19,1829.51,0.52367,0.48398,0.83076,0.956,0.98646,0.98362,0.9119,0.39675,0.29685,0.80441,0.008218,0.008218,0.008218
20,1925.95,0.51651,0.47798,0.82774,0.95779,0.98658,0.98402,0.90873,0.40771,0.29177,0.80706,0.008119,0.008119,0.008119
21,2022.51,0.51482,0.47,0.82827,0.95353,0.98863,0.9836,0.908,0.40763,0.2873,0.80649,0.00802,0.00802,0.00802
22,2118.72,0.50861,0.46246,0.8273,0.95533,0.98991,0.98414,0.90662,0.41606,0.28656,0.80803,0.007921,0.007921,0.007921
23,2215.09,0.50475,0.45557,0.8262,0.97086,0.97997,0.987,0.9173,0.39395,0.27481,0.80326,0.007822,0.007822,0.007822
24,2311.32,0.50104,0.45025,0.82588,0.96416,0.9802,0.98558,0.91521,0.39632,0.2758,0.80405,0.007723,0.007723,0.007723
25,2407.82,0.49749,0.44827,0.82467,0.96245,0.9841,0.9853,0.92324,0.37381,0.2682,0.79958,0.007624,0.007624,0.007624
26,2504.23,0.49348,0.43519,0.82486,0.9653,0.98297,0.98565,0.92312,0.37355,0.2632,0.79937,0.007525,0.007525,0.007525
27,2600.5,0.491,0.43556,0.82315,0.96113,0.98504,0.98475,0.92521,0.36751,0.26214,0.79839,0.007426,0.007426,0.007426
28,2696.7,0.48816,0.43295,0.82239,0.97039,0.97933,0.98697,0.92603,0.37084,0.25797,0.79909,0.007327,0.007327,0.007327
29,2791.93,0.4864,0.43218,0.82228,0.95714,0.9888,0.98411,0.9242,0.36889,0.26137,0.79817,0.007228,0.007228,0.007228
30,2886.91,0.48333,0.42306,0.82135,0.96232,0.98467,0.98524,0.92138,0.37802,0.25884,0.79968,0.007129,0.007129,0.007129
31,2982.07,0.47985,0.42064,0.82145,0.96597,0.98487,0.98618,0.92813,0.36109,0.25213,0.7965,0.00703,0.00703,0.00703
32,3077.31,0.47735,0.41758,0.81949,0.96309,0.98777,0.98621,0.92865,0.36126,0.25042,0.79648,0.006931,0.006931,0.006931
33,3172.51,0.47659,0.41271,0.81927,0.96457,0.98791,0.98666,0.93021,0.36019,0.2474,0.79616,0.006832,0.006832,0.006832
34,3267.52,0.4703,0.40757,0.81846,0.96667,0.98316,0.98608,0.93007,0.35872,0.2481,0.79624,0.006733,0.006733,0.006733
35,3362.74,0.47182,0.40755,0.81836,0.96973,0.98458,0.98728,0.93,0.35879,0.24327,0.7959,0.006634,0.006634,0.006634
36,3457.66,0.46798,0.40615,0.81764,0.96973,0.98374,0.98685,0.93202,0.35272,0.24146,0.7948,0.006535,0.006535,0.006535
37,3552.89,0.46609,0.40095,0.818,0.96897,0.98258,0.98649,0.93407,0.34996,0.24011,0.79389,0.006436,0.006436,0.006436
38,3646.04,0.46255,0.39708,0.81729,0.96317,0.98729,0.98606,0.9326,0.35264,0.24086,0.79421,0.006337,0.006337,0.006337
39,3738.34,0.46226,0.3957,0.81722,0.96916,0.98566,0.98724,0.93357,0.352,0.2372,0.79429,0.006238,0.006238,0.006238
40,3830.72,0.45823,0.39298,0.81555,0.97064,0.98573,0.98777,0.93655,0.34527,0.23365,0.79304,0.006139,0.006139,0.006139
41,3923.17,0.45515,0.3888,0.81526,0.97114,0.98337,0.98755,0.9346,0.35035,0.235,0.79405,0.00604,0.00604,0.00604
