epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.978676,1.14971,0.80556,1,0.90356,0.0928,0.0008,0.0008
2,1.35017,0.6061,1,1,0.19196,0.0846996,0.00169958,0.00169958
3,1.52152,0.23247,1,1,0.03975,0.0765975,0.00259746,0.00259746
4,1.69595,0.13781,1,1,0.01023,0.0684923,0.00349231,0.00349231
5,1.87876,0.05884,1,1,0.00806,0.0603828,0.00438283,0.00438283
6,2.05133,0.03194,1,1,0.00177,0.0522677,0.0052677,0.0052677
7,2.22229,0.03582,1,1,0.00059,0.0441456,0.00614564,0.00614564
8,2.38749,0.01132,1,1,0.00042,0.0360154,0.00701536,0.00701536
9,2.55822,0.00835,1,1,0.00016,0.0278756,0.00787559,0.00787559
10,2.72351,0.00813,1,1,0.00016,0.0197251,0.00872507,0.00872507
11,2.90003,0.02599,1,1,0.00013,0.0115626,0.00956258,0.00956258
12,3.06708,0.01503,1,1,8e-05,0.00970736,0.00970736,0.00970736
13,3.2341,0.01359,1,1,6e-05,0.00965239,0.00965239,0.00965239
14,3.39897,0.01179,1,1,6e-05,0.00959289,0.00959289,0.00959289
15,3.57823,0.0051,1,1,2e-05,0.00952889,0.00952889,0.00952889
16,3.7621,0.023,1,1,3e-05,0.00946048,0.00946048,0.00946048
17,3.92608,0.00258,1,1,2e-05,0.00938772,0.00938772,0.00938772
18,4.09273,0.01234,1,1,2e-05,0.00931067,0.00931067,0.00931067
19,4.26463,0.00145,1,1,3e-05,0.00922942,0.00922942,0.00922942
20,4.43388,0.00459,1,1,2e-05,0.00914405,0.00914405,0.00914405
21,4.61159,0.00703,1,1,2e-05,0.00905463,0.00905463,0.00905463
22,4.78465,0.00398,1,1,6e-05,0.00896127,0.00896127,0.00896127
