epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.90627,2.89236,0.62654,0.95988,1.59828,0.0703704,0.00329218,0.00329218
2,3.1171,1.28205,0.94136,1,0.30536,0.0403688,0.0066239,0.0066239
3,4.1654,0.47058,0.93519,1,0.1536,0.0103606,0.00994912,0.00994912
4,5.16596,0.2806,0.9537,1,0.1153,0.00997803,0.00997803,0.00997803
5,6.13289,0.22721,0.98148,1,0.05828,0.00996097,0.00996097,0.00996097
6,7.14722,0.21823,0.99383,1,0.01784,0.00993906,0.00993906,0.00993906
7,8.13222,0.19841,0.98457,1,0.04443,0.00991232,0.00991232,0.00991232
8,9.10137,0.17163,0.97222,1,0.05715,0.00988079,0.00988079,0.00988079
9,10.0858,0.16635,0.99691,0.99691,0.04866,0.00984449,0.00984449,0.00984449
10,11.0681,0.17801,0.97531,1,0.06617,0.00980345,0.00980345,0.00980345
11,12.0115,0.13275,1,1,0.00269,0.00975773,0.00975773,0.00975773
12,12.9949,0.10213,1,1,0.00252,0.00970736,0.00970736,0.00970736
13,13.9889,0.10901,0.99691,1,0.00925,0.00965239,0.00965239,0.00965239
14,14.9536,0.106,1,1,0.00545,0.00959289,0.00959289,0.00959289
15,15.9564,0.09859,0.98148,1,0.03868,0.00952889,0.00952889,0.00952889
16,16.949,0.09932,1,1,0.00135,0.00946048,0.00946048,0.00946048
17,17.9322,0.08158,1,1,0.00047,0.00938772,0.00938772,0.00938772
18,18.9218,0.08896,1,1,0.00184,0.00931067,0.00931067,0.00931067
19,19.9087,0.09257,1,1,0.00157,0.00922942,0.00922942,0.00922942
20,20.8986,0.07869,1,1,0.00156,0.00914405,0.00914405,0.00914405
21,21.884,0.08601,1,1,0.00195,0.00905463,0.00905463,0.00905463
22,22.8641,0.0979,1,1,0.00106,0.00896127,0.00896127,0.00896127
23,23.8354,0.07453,1,1,0.00071,0.00886404,0.00886404,0.00886404
24,24.8189,0.06966,0.99691,1,0.00313,0.00876305,0.00876305,0.00876305
25,25.802,0.06004,1,1,0.00129,0.00865839,0.00865839,0.00865839
26,26.7879,0.05981,0.99691,1,0.00269,0.00855018,0.00855018,0.00855018
27,27.7686,0.07011,1,1,0.00037,0.00843851,0.00843851,0.00843851
28,28.7715,0.05169,1,1,0.00175,0.00832349,0.00832349,0.00832349
29,29.7551,0.04834,0.99691,1,0.04494,0.00820525,0.00820525,0.00820525
30,30.7478,0.05072,1,1,0.00091,0.00808389,0.00808389,0.00808389
31,31.7524,0.03658,0.99691,1,0.00721,0.00795954,0.00795954,0.00795954
