epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.765,1.2464,4.56255,1.00905,0.0713,0.20226,0.0629,0.05173,0.71187,2.71228,0.84894,5.95645e-05,5.95645e-05,5.95645e-05
2,196.465,0.83149,2.93059,0.87511,0.32355,0.56364,0.37637,0.31929,0.62103,1.82722,0.8375,0.000115297,0.000115297,0.000115297
3,290.967,0.74573,2.13548,0.86215,0.58184,0.73783,0.70526,0.61356,0.55204,1.22073,0.8226,0.000167091,0.000167091,0.000167091
4,385.32,0.69245,1.65033,0.85033,0.70312,0.81892,0.82118,0.71795,0.54053,0.95529,0.82162,0.000161279,0.000161279,0.000161279
5,479.886,0.65861,1.35751,0.84622,0.82017,0.87187,0.90451,0.80202,0.50402,0.75528,0.81701,0.000155372,0.000155372,0.000155372
6,575.202,0.63477,1.18036,0.84098,0.82475,0.89654,0.92041,0.82179,0.48742,0.70258,0.81294,0.000149465,0.000149465,0.000149465
7,670.219,0.61509,1.06034,0.83592,0.86488,0.92133,0.94385,0.84349,0.48807,0.61848,0.81204,0.000143558,0.000143558,0.000143558
8,765.388,0.59603,0.97004,0.83245,0.89078,0.93206,0.95143,0.85569,0.47252,0.56964,0.8105,0.000137651,0.000137651,0.000137651
9,860.519,0.58205,0.89895,0.83115,0.89846,0.94025,0.95927,0.86445,0.4678,0.54175,0.80797,0.000131744,0.000131744,0.000131744
10,955.643,0.57209,0.84754,0.82854,0.91113,0.93424,0.96322,0.86894,0.46531,0.51683,0.80795,0.000125837,0.000125837,0.000125837
11,1050.44,0.56424,0.80832,0.8276,0.92871,0.94801,0.97238,0.88315,0.44427,0.48603,0.80392,0.00011993,0.00011993,0.00011993
12,1145.42,0.55246,0.76474,0.82494,0.9277,0.96422,0.97374,0.88545,0.4405,0.4639,0.80296,0.000114023,0.000114023,0.000114023
13,1240.49,0.54918,0.74523,0.82287,0.94057,0.95693,0.9755,0.88693,0.44372,0.44999,0.80305,0.000108116,0.000108116,0.000108116
14,1335.63,0.54071,0.71337,0.82174,0.94174,0.95866,0.97651,0.88689,0.44308,0.44201,0.80265,0.000102209,0.000102209,0.000102209
15,1430.71,0.53413,0.68706,0.8215,0.934,0.96845,0.97542,0.89398,0.42325,0.42613,0.79978,9.6302e-05,9.6302e-05,9.6302e-05
16,1525.74,0.52929,0.67158,0.82059,0.9431,0.96992,0.97812,0.89452,0.42729,0.41147,0.80029,9.0395e-05,9.0395e-05,9.0395e-05
17,1620.97,0.52399,0.65279,0.82015,0.93626,0.9739,0.97593,0.89439,0.42059,0.4092,0.79894,8.4488e-05,8.4488e-05,8.4488e-05
18,1716.15,0.51992,0.63951,0.81782,0.94386,0.97272,0.97823,0.89798,0.41673,0.40067,0.79818,7.8581e-05,7.8581e-05,7.8581e-05
19,1811.21,0.51513,0.62929,0.81823,0.9454,0.97698,0.97891,0.89966,0.41362,0.39302,0.79755,7.2674e-05,7.2674e-05,7.2674e-05
20,1906.44,0.51073,0.61524,0.81584,0.95121,0.97228,0.97988,0.90044,0.41341,0.38492,0.79774,6.6767e-05,6.6767e-05,6.6767e-05
21,2001.08,0.46169,0.50528,0.80718,0.95614,0.97358,0.98211,0.90492,0.40481,0.37308,0.79577,6.086e-05,6.086e-05,6.086e-05
22,2094.62,0.45079,0.4838,0.80413,0.94352,0.97767,0.97924,0.89998,0.41182,0.37639,0.79668,5.4953e-05,5.4953e-05,5.4953e-05
23,2188.31,0.44571,0.4736,0.80445,0.95821,0.96923,0.98248,0.90645,0.4016,0.36317,0.79531,4.9046e-05,4.9046e-05,4.9046e-05
24,2281.97,0.44067,0.46341,0.80276,0.94937,0.98015,0.98218,0.90706,0.39973,0.35964,0.79427,4.3139e-05,4.3139e-05,4.3139e-05
25,2375.6,0.43763,0.45598,0.80233,0.95163,0.9785,0.98169,0.90623,0.3972,0.35598,0.79391,3.7232e-05,3.7232e-05,3.7232e-05
26,2468.86,0.43248,0.44571,0.80065,0.95904,0.97572,0.98341,0.91067,0.39209,0.3489,0.7933,3.1325e-05,3.1325e-05,3.1325e-05
27,2561.55,0.43079,0.44437,0.80101,0.95273,0.9784,0.98187,0.91028,0.38981,0.34952,0.7927,2.5418e-05,2.5418e-05,2.5418e-05
28,2654.69,0.42728,0.43768,0.79984,0.95468,0.97894,0.98286,0.91074,0.38974,0.34554,0.79287,1.9511e-05,1.9511e-05,1.9511e-05
29,2747.43,0.42537,0.43219,0.79948,0.95584,0.97771,0.98283,0.91045,0.38899,0.34379,0.79261,1.3604e-05,1.3604e-05,1.3604e-05
30,2840.48,0.42151,0.42745,0.79933,0.95286,0.98113,0.98245,0.91132,0.38721,0.34323,0.79234,7.697e-06,7.697e-06,7.697e-06
