game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_B55E80,1,10,team2,Team 2 (E/W),26,94,38,♠,finished,2026-05-18T17:22:45.119073+00:00
2,INPROC_F603C2,1,10,team1,Team 1 (N/S),68,52,35,♠,finished,2026-05-18T17:22:45.130296+00:00
3,INPROC_9B56FE,1,10,team1,Team 1 (N/S),113,7,32,♠,finished,2026-05-18T17:22:45.139538+00:00
4,INPROC_EC034F,1,10,team2,Team 2 (E/W),47,73,18,♦,finished,2026-05-18T17:22:45.151969+00:00
5,INPROC_89C202,1,10,team2,Team 2 (E/W),52,68,8,♣,finished,2026-05-18T17:22:45.164918+00:00
6,INPROC_5BAA9E,1,10,team1,Team 1 (N/S),81,39,25,♥,finished,2026-05-18T17:22:45.177220+00:00
7,INPROC_DB927D,1,10,team2,Team 2 (E/W),9,111,29,♥,finished,2026-05-18T17:22:45.190544+00:00
8,INPROC_D8739A,1,10,team2,Team 2 (E/W),38,82,20,♥,finished,2026-05-18T17:22:45.205048+00:00
9,INPROC_824B96,1,10,team2,Team 2 (E/W),59,61,39,♠,finished,2026-05-18T17:22:45.220608+00:00
10,INPROC_E87B0A,1,10,team1,Team 1 (N/S),71,49,10,♦,finished,2026-05-18T17:22:45.238343+00:00
11,INPROC_5AEFF3,1,10,team1,Team 1 (N/S),64,56,28,♥,finished,2026-05-18T17:22:45.247913+00:00
12,INPROC_349872,1,10,team2,Team 2 (E/W),41,79,22,♥,finished,2026-05-18T17:22:45.258571+00:00
13,INPROC_CD3766,1,10,team1,Team 1 (N/S),75,45,3,♣,finished,2026-05-18T17:22:45.272985+00:00
14,INPROC_BBA587,1,10,team1,Team 1 (N/S),69,51,25,♥,finished,2026-05-18T17:22:45.286788+00:00
15,INPROC_CAD762,1,10,team2,Team 2 (E/W),40,80,33,♠,finished,2026-05-18T17:22:45.303502+00:00
16,INPROC_20C21D,1,10,team1,Team 1 (N/S),61,59,1,♣,finished,2026-05-18T17:22:45.321039+00:00
17,INPROC_0CC45B,1,10,team1,Team 1 (N/S),84,36,19,♦,finished,2026-05-18T17:22:45.339353+00:00
18,INPROC_B7ED1F,1,10,team2,Team 2 (E/W),33,87,15,♦,finished,2026-05-18T17:22:45.357780+00:00
19,INPROC_34803D,1,10,team2,Team 2 (E/W),53,67,6,♣,finished,2026-05-18T17:22:45.375238+00:00
20,INPROC_503623,1,10,team1,Team 1 (N/S),84,36,29,♥,finished,2026-05-18T17:22:45.386830+00:00
21,INPROC_C717E4,1,10,team2,Team 2 (E/W),42,78,38,♠,finished,2026-05-18T17:22:45.395595+00:00
22,INPROC_38132E,1,10,team2,Team 2 (E/W),55,65,22,♥,finished,2026-05-18T17:22:45.405738+00:00
23,INPROC_5D3CD1,1,10,team1,Team 1 (N/S),99,21,24,♥,finished,2026-05-18T17:22:45.419836+00:00
24,INPROC_2E4D1F,1,10,team2,Team 2 (E/W),21,99,6,♣,finished,2026-05-18T17:22:45.433056+00:00
25,INPROC_67C53B,1,10,team1,Team 1 (N/S),94,26,6,♣,finished,2026-05-18T17:22:45.447467+00:00
26,INPROC_E62953,1,10,team1,Team 1 (N/S),88,32,21,♥,finished,2026-05-18T17:22:45.456654+00:00
27,INPROC_85ABE3,1,10,team1,Team 1 (N/S),71,49,28,♥,finished,2026-05-18T17:22:45.474933+00:00
28,INPROC_D0F008,1,10,team2,Team 2 (E/W),33,87,23,♥,finished,2026-05-18T17:22:45.493560+00:00
29,INPROC_3DA942,1,10,team1,Team 1 (N/S),74,46,10,♦,finished,2026-05-18T17:22:45.508091+00:00
30,INPROC_AEBD8E,1,10,team2,Team 2 (E/W),2,118,34,♠,finished,2026-05-18T17:22:45.522195+00:00
31,INPROC_49EE26,1,10,team1,Team 1 (N/S),93,27,25,♥,finished,2026-05-18T17:22:45.536047+00:00
32,INPROC_6F4191,1,10,team1,Team 1 (N/S),65,55,37,♠,finished,2026-05-18T17:22:45.550848+00:00
33,INPROC_45CB6C,1,10,team2,Team 2 (E/W),51,69,28,♥,finished,2026-05-18T17:22:45.564054+00:00
34,INPROC_948346,1,10,team2,Team 2 (E/W),46,74,37,♠,finished,2026-05-18T17:22:45.578966+00:00
35,INPROC_702CD5,1,10,team2,Team 2 (E/W),34,86,38,♠,finished,2026-05-18T17:22:45.594415+00:00
36,INPROC_F02E3B,1,10,team1,Team 1 (N/S),74,46,22,♥,finished,2026-05-18T17:22:45.609201+00:00
37,INPROC_62D238,1,10,team2,Team 2 (E/W),40,80,27,♥,finished,2026-05-18T17:22:45.626485+00:00
38,INPROC_BB5597,1,10,team1,Team 1 (N/S),64,56,26,♥,finished,2026-05-18T17:22:45.642469+00:00
39,INPROC_B13407,1,10,team1,Team 1 (N/S),89,31,30,♠,finished,2026-05-18T17:22:45.657351+00:00
40,INPROC_D5A982,1,10,team2,Team 2 (E/W),0,120,37,♠,finished,2026-05-18T17:22:45.671241+00:00
41,INPROC_E99AD0,1,10,team2,Team 2 (E/W),35,85,5,♣,finished,2026-05-18T17:22:45.686519+00:00
42,INPROC_C4D1FE,1,10,team2,Team 2 (E/W),26,94,20,♥,finished,2026-05-18T17:22:45.701429+00:00
43,INPROC_85F97E,1,10,team2,Team 2 (E/W),58,62,4,♣,finished,2026-05-18T17:22:45.716394+00:00
44,INPROC_072EAC,1,10,team1,Team 1 (N/S),64,56,34,♠,finished,2026-05-18T17:22:45.729431+00:00
45,INPROC_619755,1,10,team2,Team 2 (E/W),39,81,9,♣,finished,2026-05-18T17:22:45.743194+00:00
46,INPROC_6BA8CD,1,10,draw,draw,60,60,27,♥,finished,2026-05-18T17:22:45.757411+00:00
47,INPROC_65B004,1,10,team2,Team 2 (E/W),48,72,10,♦,finished,2026-05-18T17:22:45.772571+00:00
