game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_DE180A,1,10,team1,Team 1 (N/S),89,31,5,♣,finished,2026-05-18T16:05:24.066961+00:00
2,INPROC_B15F5F,1,10,team1,Team 1 (N/S),70,50,11,♦,finished,2026-05-18T16:05:24.086152+00:00
3,INPROC_D81D9E,1,10,team2,Team 2 (E/W),44,76,0,♣,finished,2026-05-18T16:05:24.103002+00:00
4,INPROC_E1AC21,1,10,team1,Team 1 (N/S),114,6,15,♦,finished,2026-05-18T16:05:24.122690+00:00
5,INPROC_A9D7BE,1,10,team1,Team 1 (N/S),64,56,0,♣,finished,2026-05-18T16:05:24.136363+00:00
6,INPROC_94456B,1,10,team1,Team 1 (N/S),84,36,36,♠,finished,2026-05-18T16:05:24.151004+00:00
7,INPROC_A2D543,1,10,team2,Team 2 (E/W),58,62,20,♥,finished,2026-05-18T16:05:24.169766+00:00
8,INPROC_C56529,1,10,team1,Team 1 (N/S),82,38,12,♦,finished,2026-05-18T16:05:24.185262+00:00
9,INPROC_F764B1,1,10,team1,Team 1 (N/S),70,50,4,♣,finished,2026-05-18T16:05:24.202134+00:00
10,INPROC_7FB2E0,1,10,team2,Team 2 (E/W),52,68,32,♠,finished,2026-05-18T16:05:24.218416+00:00
11,INPROC_65F9FB,1,10,team2,Team 2 (E/W),59,61,4,♣,finished,2026-05-18T16:05:24.237120+00:00
12,INPROC_1B8E9C,1,10,team1,Team 1 (N/S),85,35,32,♠,finished,2026-05-18T16:05:24.256233+00:00
13,INPROC_55DECA,1,10,team1,Team 1 (N/S),81,39,24,♥,finished,2026-05-18T16:05:24.274720+00:00
14,INPROC_D7E89A,1,10,team1,Team 1 (N/S),75,45,21,♥,finished,2026-05-18T16:05:24.294358+00:00
15,INPROC_0D6963,1,10,team2,Team 2 (E/W),39,81,26,♥,finished,2026-05-18T16:05:24.310657+00:00
16,INPROC_D476E2,1,10,team2,Team 2 (E/W),13,107,15,♦,finished,2026-05-18T16:05:24.329480+00:00
17,INPROC_3921F2,1,10,team1,Team 1 (N/S),95,25,13,♦,finished,2026-05-18T16:05:24.350133+00:00
18,INPROC_17828B,1,10,team2,Team 2 (E/W),29,91,9,♣,finished,2026-05-18T16:05:24.369512+00:00
19,INPROC_073FDA,1,10,team1,Team 1 (N/S),78,42,14,♦,finished,2026-05-18T16:05:24.386777+00:00
20,INPROC_490B23,1,10,team1,Team 1 (N/S),82,38,21,♥,finished,2026-05-18T16:05:24.405935+00:00
21,INPROC_E63506,1,10,team1,Team 1 (N/S),73,47,4,♣,finished,2026-05-18T16:05:24.423793+00:00
22,INPROC_66F0BF,1,10,team2,Team 2 (E/W),25,95,17,♦,finished,2026-05-18T16:05:24.442638+00:00
23,INPROC_B346BF,1,10,team1,Team 1 (N/S),63,57,34,♠,finished,2026-05-18T16:05:24.462517+00:00
24,INPROC_E73AF3,1,10,team2,Team 2 (E/W),58,62,15,♦,finished,2026-05-18T16:05:24.484544+00:00
