game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_036B9D,1,10,team1,Team 1 (N/S),70,50,35,♠,finished,2026-05-18T16:33:19.062902+00:00
2,INPROC_68D967,1,10,team2,Team 2 (E/W),57,63,26,♥,finished,2026-05-18T16:33:19.078149+00:00
3,INPROC_2F6323,1,10,team1,Team 1 (N/S),88,32,29,♥,finished,2026-05-18T16:33:19.092922+00:00
4,INPROC_C77673,1,10,team1,Team 1 (N/S),76,44,15,♦,finished,2026-05-18T16:33:19.108261+00:00
5,INPROC_78C295,1,10,team1,Team 1 (N/S),63,57,25,♥,finished,2026-05-18T16:33:19.123500+00:00
6,INPROC_550A47,1,10,team2,Team 2 (E/W),43,77,38,♠,finished,2026-05-18T16:33:19.137528+00:00
7,INPROC_3E539A,1,10,team1,Team 1 (N/S),97,23,24,♥,finished,2026-05-18T16:33:19.151996+00:00
8,INPROC_5622F2,1,10,team2,Team 2 (E/W),55,65,17,♦,finished,2026-05-18T16:33:19.167007+00:00
9,INPROC_A8BFF6,1,10,team1,Team 1 (N/S),67,53,0,♣,finished,2026-05-18T16:33:19.182471+00:00
10,INPROC_7E6330,1,10,team1,Team 1 (N/S),120,0,30,♠,finished,2026-05-18T16:33:19.194673+00:00
11,INPROC_53AA5E,1,10,team1,Team 1 (N/S),75,45,3,♣,finished,2026-05-18T16:33:19.208390+00:00
12,INPROC_737420,1,10,team1,Team 1 (N/S),70,50,17,♦,finished,2026-05-18T16:33:19.222568+00:00
13,INPROC_D3FA12,1,10,team2,Team 2 (E/W),35,85,6,♣,finished,2026-05-18T16:33:19.236630+00:00
14,INPROC_100AC5,1,10,team1,Team 1 (N/S),67,53,21,♥,finished,2026-05-18T16:33:19.251324+00:00
15,INPROC_7FF8F5,1,10,team2,Team 2 (E/W),46,74,2,♣,finished,2026-05-18T16:33:19.266771+00:00
16,INPROC_A61749,1,10,team2,Team 2 (E/W),51,69,25,♥,finished,2026-05-18T16:33:19.276231+00:00
17,INPROC_CC2DAB,1,10,team1,Team 1 (N/S),64,56,25,♥,finished,2026-05-18T16:33:19.287306+00:00
18,INPROC_1D288C,1,10,team1,Team 1 (N/S),82,38,23,♥,finished,2026-05-18T16:33:19.295349+00:00
19,INPROC_6A7F5A,1,10,team1,Team 1 (N/S),92,28,8,♣,finished,2026-05-18T16:33:19.307713+00:00
