game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_00E5E9,1,10,team2,Team 2 (E/W),30,90,6,♣,finished,2026-05-18T17:33:07.188020+00:00
2,INPROC_0A3855,1,10,team1,Team 1 (N/S),63,57,4,♣,finished,2026-05-18T17:33:07.204924+00:00
3,INPROC_623BD7,1,10,team1,Team 1 (N/S),95,25,25,♥,finished,2026-05-18T17:33:07.216493+00:00
4,INPROC_C30BEE,1,10,team2,Team 2 (E/W),58,62,13,♦,finished,2026-05-18T17:33:07.230533+00:00
5,INPROC_1FEE49,1,10,team1,Team 1 (N/S),71,49,25,♥,finished,2026-05-18T17:33:07.248453+00:00
6,INPROC_826C30,1,10,team1,Team 1 (N/S),82,38,21,♥,finished,2026-05-18T17:33:07.264597+00:00
7,INPROC_1EBC99,1,10,team2,Team 2 (E/W),0,120,9,♣,finished,2026-05-18T17:33:07.280608+00:00
8,INPROC_B47E6B,1,10,team2,Team 2 (E/W),54,66,15,♦,finished,2026-05-18T17:33:07.291656+00:00
9,INPROC_97ED71,1,10,team1,Team 1 (N/S),89,31,20,♥,finished,2026-05-18T17:33:07.310355+00:00
10,INPROC_011493,1,10,team2,Team 2 (E/W),44,76,29,♥,finished,2026-05-18T17:33:07.326181+00:00
11,INPROC_73292B,1,10,team2,Team 2 (E/W),53,67,39,♠,finished,2026-05-18T17:33:07.341752+00:00
12,INPROC_025E7E,1,10,team2,Team 2 (E/W),26,94,24,♥,finished,2026-05-18T17:33:07.354199+00:00
13,INPROC_3ADC78,1,10,team1,Team 1 (N/S),62,58,14,♦,finished,2026-05-18T17:33:07.366211+00:00
14,INPROC_4BFE65,1,10,team1,Team 1 (N/S),72,48,28,♥,finished,2026-05-18T17:33:07.380438+00:00
15,INPROC_81DDB1,1,10,team2,Team 2 (E/W),47,73,7,♣,finished,2026-05-18T17:33:07.395155+00:00
16,INPROC_7DD9FF,1,10,team2,Team 2 (E/W),54,66,28,♥,finished,2026-05-18T17:33:07.405284+00:00
17,INPROC_BE6F4C,1,10,team2,Team 2 (E/W),12,108,27,♥,finished,2026-05-18T17:33:07.418609+00:00
18,INPROC_DFB86F,1,10,team1,Team 1 (N/S),91,29,38,♠,finished,2026-05-18T17:33:07.431527+00:00
19,INPROC_818DB7,1,10,team1,Team 1 (N/S),80,40,7,♣,finished,2026-05-18T17:33:07.445446+00:00
20,INPROC_33FA4D,1,10,team2,Team 2 (E/W),58,62,17,♦,finished,2026-05-18T17:33:07.459359+00:00
21,INPROC_538187,1,10,team1,Team 1 (N/S),107,13,27,♥,finished,2026-05-18T17:33:07.472511+00:00
22,INPROC_2017D6,1,10,team2,Team 2 (E/W),0,120,7,♣,finished,2026-05-18T17:33:07.485566+00:00
23,INPROC_3376A0,1,10,team2,Team 2 (E/W),59,61,25,♥,finished,2026-05-18T17:33:07.500476+00:00
24,INPROC_863867,1,10,team2,Team 2 (E/W),40,80,20,♥,finished,2026-05-18T17:33:07.515926+00:00
25,INPROC_01444A,1,10,team2,Team 2 (E/W),33,87,35,♠,finished,2026-05-18T17:33:07.530201+00:00
26,INPROC_7378E3,1,10,team2,Team 2 (E/W),43,77,21,♥,finished,2026-05-18T17:33:07.544878+00:00
27,INPROC_3F7078,1,10,team1,Team 1 (N/S),62,58,1,♣,finished,2026-05-18T17:33:07.558677+00:00
28,INPROC_03F6D4,1,10,team2,Team 2 (E/W),18,102,39,♠,finished,2026-05-18T17:33:07.576193+00:00
29,INPROC_F5859E,1,10,team2,Team 2 (E/W),48,72,33,♠,finished,2026-05-18T17:33:07.590609+00:00
30,INPROC_C91617,1,10,team2,Team 2 (E/W),44,76,2,♣,finished,2026-05-18T17:33:07.607141+00:00
31,INPROC_C89B90,1,10,team1,Team 1 (N/S),64,56,29,♥,finished,2026-05-18T17:33:07.624165+00:00
32,INPROC_C34B61,1,10,team1,Team 1 (N/S),91,29,7,♣,finished,2026-05-18T17:33:07.640926+00:00
33,INPROC_D2D41C,1,10,team2,Team 2 (E/W),35,85,13,♦,finished,2026-05-18T17:33:07.658851+00:00
34,INPROC_EFA26F,1,10,team2,Team 2 (E/W),38,82,9,♣,finished,2026-05-18T17:33:07.688971+00:00
35,INPROC_DCBE37,1,10,team2,Team 2 (E/W),51,69,10,♦,finished,2026-05-18T17:33:07.711195+00:00
36,INPROC_CEEB10,1,10,team1,Team 1 (N/S),95,25,6,♣,finished,2026-05-18T17:33:07.725312+00:00
37,INPROC_832B4D,1,10,team2,Team 2 (E/W),45,75,8,♣,finished,2026-05-18T17:33:07.737582+00:00
