game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_7C3482,1,10,team1,Team 1 (N/S),64,56,14,♦,finished,2026-05-18T16:41:59.439807+00:00
2,INPROC_839A31,1,10,team2,Team 2 (E/W),50,70,33,♠,finished,2026-05-18T16:41:59.458415+00:00
3,INPROC_EAFDF6,1,10,team1,Team 1 (N/S),99,21,14,♦,finished,2026-05-18T16:41:59.471943+00:00
4,INPROC_F958B1,1,10,team1,Team 1 (N/S),89,31,2,♣,finished,2026-05-18T16:41:59.486230+00:00
5,INPROC_0386B4,1,10,team2,Team 2 (E/W),20,100,9,♣,finished,2026-05-18T16:41:59.501047+00:00
6,INPROC_5CC249,1,10,team2,Team 2 (E/W),29,91,28,♥,finished,2026-05-18T16:41:59.515462+00:00
7,INPROC_AB8A64,1,10,team1,Team 1 (N/S),75,45,26,♥,finished,2026-05-18T16:41:59.524402+00:00
8,INPROC_CC9FE6,1,10,team2,Team 2 (E/W),54,66,8,♣,finished,2026-05-18T16:41:59.543036+00:00
9,INPROC_064C95,1,10,team1,Team 1 (N/S),66,54,33,♠,finished,2026-05-18T16:41:59.560223+00:00
10,INPROC_945F3B,1,10,team2,Team 2 (E/W),44,76,21,♥,finished,2026-05-18T16:41:59.577401+00:00
11,INPROC_169B96,1,10,team2,Team 2 (E/W),0,120,8,♣,finished,2026-05-18T16:41:59.592428+00:00
12,INPROC_EE865E,1,10,team2,Team 2 (E/W),45,75,24,♥,finished,2026-05-18T16:41:59.606789+00:00
13,INPROC_2B6213,1,10,team1,Team 1 (N/S),82,38,37,♠,finished,2026-05-18T16:41:59.619350+00:00
14,INPROC_ACA0E5,1,10,team2,Team 2 (E/W),42,78,27,♥,finished,2026-05-18T16:41:59.632321+00:00
15,INPROC_517602,1,10,team1,Team 1 (N/S),84,36,35,♠,finished,2026-05-18T16:41:59.646885+00:00
16,INPROC_640E09,1,10,team2,Team 2 (E/W),17,103,0,♣,finished,2026-05-18T16:41:59.659936+00:00
17,INPROC_E98831,1,10,team2,Team 2 (E/W),39,81,33,♠,finished,2026-05-18T16:41:59.672438+00:00
18,INPROC_F4F770,1,10,team1,Team 1 (N/S),99,21,17,♦,finished,2026-05-18T16:41:59.685280+00:00
19,INPROC_60EAC5,1,10,team1,Team 1 (N/S),96,24,14,♦,finished,2026-05-18T16:41:59.696777+00:00
20,INPROC_8AB534,1,10,team2,Team 2 (E/W),52,68,25,♥,finished,2026-05-18T16:41:59.712078+00:00
21,INPROC_D9B355,1,10,team2,Team 2 (E/W),50,70,15,♦,finished,2026-05-18T16:41:59.726329+00:00
22,INPROC_1227A8,1,10,team1,Team 1 (N/S),78,42,39,♠,finished,2026-05-18T16:41:59.741368+00:00
23,INPROC_78C8A4,1,10,team1,Team 1 (N/S),76,44,34,♠,finished,2026-05-18T16:41:59.760467+00:00
24,INPROC_374E37,1,10,team1,Team 1 (N/S),63,57,36,♠,finished,2026-05-18T16:41:59.773044+00:00
25,INPROC_7C72EC,1,10,team1,Team 1 (N/S),61,59,39,♠,finished,2026-05-18T16:41:59.789575+00:00
26,INPROC_A2A4EF,1,10,team2,Team 2 (E/W),47,73,20,♥,finished,2026-05-18T16:41:59.807171+00:00
27,INPROC_B6FC19,1,10,team1,Team 1 (N/S),64,56,16,♦,finished,2026-05-18T16:41:59.824893+00:00
28,INPROC_AC67D0,1,10,team1,Team 1 (N/S),118,2,2,♣,finished,2026-05-18T16:41:59.840488+00:00
29,INPROC_E4FCA0,1,10,team1,Team 1 (N/S),61,59,37,♠,finished,2026-05-18T16:41:59.858803+00:00
30,INPROC_FCCCF4,1,10,team1,Team 1 (N/S),68,52,9,♣,finished,2026-05-18T16:41:59.874701+00:00
31,INPROC_46296A,1,10,team2,Team 2 (E/W),16,104,19,♦,finished,2026-05-18T16:41:59.889800+00:00
32,INPROC_2F3B9E,1,10,team2,Team 2 (E/W),56,64,36,♠,finished,2026-05-18T16:41:59.904635+00:00
33,INPROC_DC76EE,1,10,team1,Team 1 (N/S),88,32,32,♠,finished,2026-05-18T16:41:59.921354+00:00
34,INPROC_E3B0A8,1,10,team2,Team 2 (E/W),30,90,11,♦,finished,2026-05-18T16:41:59.937593+00:00
35,INPROC_024732,1,10,team1,Team 1 (N/S),71,49,0,♣,finished,2026-05-18T16:41:59.955205+00:00
36,INPROC_FC0E7B,1,10,team2,Team 2 (E/W),51,69,19,♦,finished,2026-05-18T16:41:59.972188+00:00
