2025-11-30 22:06:36,214 |   44 | INFO     | connect_server_socket          | [CONNECTED] Game Server is online
2025-11-30 22:06:58,915 |   62 | INFO     | accept_player_sockets          | [CONNECTED] Player [1] [Dnaiel] has joined the game from ('127.0.0.1', 34344)
2025-11-30 22:06:58,915 |   75 | INFO     | assign_player                  | [ANNOUNCEMENT] Dnaiel was assigned position [Positions.NORTH] 
2025-11-30 22:07:05,848 |   62 | INFO     | accept_player_sockets          | [CONNECTED] Player [2] [Ana] has joined the game from ('127.0.0.1', 35026)
2025-11-30 22:07:05,859 |   75 | INFO     | assign_player                  | [ANNOUNCEMENT] Ana was assigned position [Positions.EAST] 
2025-11-30 22:07:15,739 |   62 | INFO     | accept_player_sockets          | [CONNECTED] Player [3] [Anastacia] has joined the game from ('127.0.0.1', 33890)
2025-11-30 22:07:15,760 |   75 | INFO     | assign_player                  | [ANNOUNCEMENT] Anastacia was assigned position [Positions.SOUTH] 
2025-11-30 22:07:23,509 |   62 | INFO     | accept_player_sockets          | [CONNECTED] Player [4] [Josefina] has joined the game from ('127.0.0.1', 39162)
2025-11-30 22:07:23,540 |   75 | INFO     | assign_player                  | [ANNOUNCEMENT] Josefina was assigned position [Positions.WEST] 
2025-11-30 22:07:23,581 |  120 | INFO     | start_game                     | [START] Game has started
2025-11-30 22:07:23,705 |   83 | INFO     | assign_teams                   | [ANNOUNCEMENT Player Dnaiel is to the Positions.NORTH 
2025-11-30 22:07:23,705 |   87 | INFO     | assign_teams                   | [ANNOUNCEMENT] Dnaiel was assigned to the first team 
2025-11-30 22:07:23,746 |   83 | INFO     | assign_teams                   | [ANNOUNCEMENT Player Ana is to the Positions.EAST 
2025-11-30 22:07:23,746 |   94 | INFO     | assign_teams                   | [ANNOUNCEMENT] Ana was assigned to the second team 
2025-11-30 22:07:23,787 |   83 | INFO     | assign_teams                   | [ANNOUNCEMENT Player Anastacia is to the Positions.SOUTH 
2025-11-30 22:07:23,788 |   87 | INFO     | assign_teams                   | [ANNOUNCEMENT] Anastacia was assigned to the first team 
2025-11-30 22:07:23,829 |   83 | INFO     | assign_teams                   | [ANNOUNCEMENT Player Josefina is to the Positions.WEST 
2025-11-30 22:07:23,829 |   94 | INFO     | assign_teams                   | [ANNOUNCEMENT] Josefina was assigned to the second team 
2025-11-30 22:07:25,010 |  146 | INFO     | start_game                     | [CUT-RECEIVED] Player Dnaiel cut at index [5]
2025-11-30 22:07:25,093 |  159 | INFO     | start_game                     | [ANNOUNCEMENT] Player [Josefina] (WEST) will pick the trump card
2025-11-30 22:07:26,654 |  169 | INFO     | start_game                     | [TRUMP-CARD] This game's trump card is 4♣
2025-11-30 22:07:26,655 |   50 | INFO     | play_round                     | [PLAYER-ORDER] It's Player [Anastacia]'s turn
