timestamp,round_number,player,position,hand_before,legal_moves,chosen_card,cards_in_trick,position_in_trick,lead_suit,trump
2026-04-23T17:26:24.248659+00:00,1,S4,SOUTH,"[3, 4, 11, 14, 21, 29, 31, 34, 35, 36]","[3, 4, 11, 14, 21, 29, 31, 34, 35, 36]",3,[],0,,♥
2026-04-23T17:26:24.306769+00:00,1,E4,EAST,"[5, 7, 17, 23, 25, 27, 30, 33, 37, 38]","[5, 7]",7,"[['S4', 3]]",1,♣,♥
2026-04-23T17:26:24.358714+00:00,1,N4,NORTH,"[6, 9, 12, 13, 19, 20, 22, 26, 32, 39]","[6, 9]",9,"[['S4', 3], ['E4', 7]]",2,♣,♥
2026-04-23T17:26:24.437588+00:00,1,W4,WEST,"[0, 1, 2, 8, 10, 15, 16, 18, 24, 28]","[0, 1, 2, 8]",2,"[['S4', 3], ['E4', 7], ['N4', 9]]",3,♣,♥
2026-04-23T17:26:26.166294+00:00,2,N4,NORTH,"[6, 12, 13, 19, 20, 22, 26, 32, 39]","[6, 12, 13, 19, 20, 22, 26, 32, 39]",12,[],0,,♥
2026-04-23T17:26:26.304098+00:00,2,W4,WEST,"[0, 1, 8, 10, 15, 16, 18, 24, 28]","[10, 15, 16, 18]",15,"[['N4', 12]]",1,♦,♥
2026-04-23T17:26:26.358674+00:00,2,S4,SOUTH,"[4, 11, 14, 21, 29, 31, 34, 35, 36]","[11, 14]",11,"[['N4', 12], ['W4', 15]]",2,♦,♥
2026-04-23T17:26:26.416572+00:00,2,E4,EAST,"[5, 17, 23, 25, 27, 30, 33, 37, 38]",[17],17,"[['N4', 12], ['W4', 15], ['S4', 11]]",3,♦,♥
2026-04-23T17:26:28.209538+00:00,3,E4,EAST,"[5, 23, 25, 27, 30, 33, 37, 38]","[5, 23, 25, 27, 30, 33, 37, 38]",33,[],0,,♥
2026-04-23T17:26:28.340877+00:00,3,N4,NORTH,"[6, 13, 19, 20, 22, 26, 32, 39]","[32, 39]",32,"[['E4', 33]]",1,♠,♥
2026-04-23T17:26:28.429204+00:00,3,W4,WEST,"[0, 1, 8, 10, 16, 18, 24, 28]","[0, 1, 8, 10, 16, 18, 24, 28]",10,"[['E4', 33], ['N4', 32]]",2,♠,♥
2026-04-23T17:26:28.488005+00:00,3,S4,SOUTH,"[4, 14, 21, 29, 31, 34, 35, 36]","[31, 34, 35, 36]",35,"[['E4', 33], ['N4', 32], ['W4', 10]]",3,♠,♥
2026-04-23T17:26:30.286048+00:00,4,S4,SOUTH,"[4, 14, 21, 29, 31, 34, 36]","[4, 14, 21, 29, 31, 34, 36]",4,[],0,,♥
2026-04-23T17:26:30.337300+00:00,4,E4,EAST,"[5, 23, 25, 27, 30, 37, 38]",[5],5,"[['S4', 4]]",1,♣,♥
2026-04-23T17:26:30.480595+00:00,4,N4,NORTH,"[6, 13, 19, 20, 22, 26, 39]",[6],6,"[['S4', 4], ['E4', 5]]",2,♣,♥
2026-04-23T17:26:30.611275+00:00,4,W4,WEST,"[0, 1, 8, 16, 18, 24, 28]","[0, 1, 8]",0,"[['S4', 4], ['E4', 5], ['N4', 6]]",3,♣,♥
2026-04-23T17:26:32.455925+00:00,5,N4,NORTH,"[13, 19, 20, 22, 26, 39]","[13, 19, 20, 22, 26, 39]",22,[],0,,♥
2026-04-23T17:26:32.580760+00:00,5,W4,WEST,"[1, 8, 16, 18, 24, 28]","[24, 28]",24,"[['N4', 22]]",1,♥,♥
2026-04-23T17:26:32.630499+00:00,5,S4,SOUTH,"[14, 21, 29, 31, 34, 36]","[21, 29]",29,"[['N4', 22], ['W4', 24]]",2,♥,♥
