timestamp,round_number,player,position,hand_before,legal_moves,chosen_card,cards_in_trick,position_in_trick,lead_suit,trump
2026-04-23T17:27:05.482363+00:00,1,S4,SOUTH,"[1, 5, 8, 13, 17, 20, 23, 26, 30, 36]","[1, 5, 8, 13, 17, 20, 23, 26, 30, 36]",8,[],0,,♠
2026-04-23T17:27:05.560107+00:00,1,E4,EAST,"[3, 6, 9, 11, 15, 18, 19, 24, 27, 37]","[3, 6, 9]",9,"[['S4', 8]]",1,♣,♠
2026-04-23T17:27:05.686544+00:00,1,N4,NORTH,"[0, 4, 7, 12, 14, 16, 21, 22, 28, 39]","[0, 4, 7]",7,"[['S4', 8], ['E4', 9]]",2,♣,♠
2026-04-23T17:27:05.831090+00:00,1,W4,WEST,"[2, 10, 25, 29, 31, 32, 33, 34, 35, 38]",[2],2,"[['S4', 8], ['E4', 9], ['N4', 7]]",3,♣,♠
2026-04-23T17:27:07.729273+00:00,2,E4,EAST,"[3, 6, 11, 15, 18, 19, 24, 27, 37]","[3, 6, 11, 15, 18, 19, 24, 27, 37]",18,[],0,,♠
2026-04-23T17:27:07.879804+00:00,2,N4,NORTH,"[0, 4, 12, 14, 16, 21, 22, 28, 39]","[12, 14, 16]",16,"[['E4', 18]]",1,♦,♠
2026-04-23T17:27:08.070812+00:00,2,W4,WEST,"[10, 25, 29, 31, 32, 33, 34, 35, 38]",[10],10,"[['E4', 18], ['N4', 16]]",2,♦,♠
2026-04-23T17:27:08.262787+00:00,2,S4,SOUTH,"[1, 5, 13, 17, 20, 23, 26, 30, 36]","[13, 17]",17,"[['E4', 18], ['N4', 16], ['W4', 10]]",3,♦,♠
2026-04-23T17:27:10.120055+00:00,3,E4,EAST,"[3, 6, 11, 15, 19, 24, 27, 37]","[3, 6, 11, 15, 19, 24, 27, 37]",19,[],0,,♠
2026-04-23T17:27:10.322117+00:00,3,N4,NORTH,"[0, 4, 12, 14, 21, 22, 28, 39]","[12, 14]",14,"[['E4', 19]]",1,♦,♠
2026-04-23T17:27:10.455240+00:00,3,W4,WEST,"[25, 29, 31, 32, 33, 34, 35, 38]","[25, 29, 31, 32, 33, 34, 35, 38]",35,"[['E4', 19], ['N4', 14]]",2,♦,♠
2026-04-23T17:27:10.577787+00:00,3,S4,SOUTH,"[1, 5, 13, 20, 23, 26, 30, 36]",[13],13,"[['E4', 19], ['N4', 14], ['W4', 35]]",3,♦,♠
2026-04-23T17:27:12.448704+00:00,4,W4,WEST,"[25, 29, 31, 32, 33, 34, 38]","[25, 29, 31, 32, 33, 34, 38]",38,[],0,,♠
2026-04-23T17:27:12.693495+00:00,4,S4,SOUTH,"[1, 5, 20, 23, 26, 30, 36]","[30, 36]",30,"[['W4', 38]]",1,♠,♠
2026-04-23T17:27:12.932293+00:00,4,E4,EAST,"[3, 6, 11, 15, 24, 27, 37]",[37],37,"[['W4', 38], ['S4', 30]]",2,♠,♠
2026-04-23T17:27:13.144591+00:00,4,N4,NORTH,"[0, 4, 12, 21, 22, 28, 39]",[39],39,"[['W4', 38], ['S4', 30], ['E4', 37]]",3,♠,♠
2026-04-23T17:27:15.062216+00:00,5,N4,NORTH,"[0, 4, 12, 21, 22, 28]","[0, 4, 12, 21, 22, 28]",22,[],0,,♠
2026-04-23T17:27:15.263669+00:00,5,W4,WEST,"[25, 29, 31, 32, 33, 34]","[25, 29]",29,"[['N4', 22]]",1,♥,♠
2026-04-23T17:27:15.481324+00:00,5,S4,SOUTH,"[1, 5, 20, 23, 26, 36]","[20, 23, 26]",20,"[['N4', 22], ['W4', 29]]",2,♥,♠
