game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played
1,FF6365,1,4,team1,0,0,4,0,4,S4:SOUTH:4 | E4:EAST:2 | N4:NORTH:7 | W4:WEST:3
1,FF6365,2,19,team1,4,0,23,0,4,N4:NORTH:5 | W4:WEST:6 | S4:SOUTH:8 | E4:EAST:27
1,FF6365,3,3,team2,23,0,23,3,4,S4:SOUTH:12 | E4:EAST:16 | N4:NORTH:13 | W4:WEST:14
1,FF6365,4,26,team1,23,3,49,3,4,E4:EAST:18 | N4:NORTH:15 | W4:WEST:26 | S4:SOUTH:19
1,FF6365,5,15,team1,49,3,64,3,4,S4:SOUTH:39 | E4:EAST:30 | N4:NORTH:37 | W4:WEST:33
1,FF6365,6,31,team1,64,3,95,3,4,S4:SOUTH:1 | E4:EAST:38 | N4:NORTH:9 | W4:WEST:28
1,FF6365,7,5,team1,95,3,100,3,4,N4:NORTH:35 | W4:WEST:32 | S4:SOUTH:36 | E4:EAST:34
1,FF6365,8,4,team2,100,3,100,7,4,S4:SOUTH:10 | E4:EAST:17 | N4:NORTH:11 | W4:WEST:24
1,FF6365,9,2,team1,100,7,102,7,4,E4:EAST:23 | N4:NORTH:25 | W4:WEST:22 | S4:SOUTH:21
1,FF6365,10,11,team1,102,7,113,7,4,N4:NORTH:29 | W4:WEST:31 | S4:SOUTH:0 | E4:EAST:20
2,588560,1,11,team2,0,0,0,11,4,S4:SOUTH:16 | E4:EAST:27 | N4:NORTH:10 | W4:WEST:17
2,588560,2,2,team2,0,11,0,13,4,W4:WEST:20 | S4:SOUTH:23 | E4:EAST:25 | N4:NORTH:24
2,588560,3,2,team2,0,13,0,15,4,E4:EAST:5 | N4:NORTH:2 | W4:WEST:1 | S4:SOUTH:0
2,588560,4,6,team2,0,15,0,21,4,E4:EAST:31 | N4:NORTH:34 | W4:WEST:37 | S4:SOUTH:35
2,588560,5,14,team1,0,21,14,21,4,W4:WEST:32 | S4:SOUTH:39 | E4:EAST:36 | N4:NORTH:21
2,588560,6,11,team1,14,21,25,21,4,S4:SOUTH:19 | E4:EAST:3 | N4:NORTH:14 | W4:WEST:12
2,588560,7,23,team1,25,21,48,21,4,S4:SOUTH:8 | E4:EAST:4 | N4:NORTH:15 | W4:WEST:9
2,588560,8,17,team2,48,21,48,38,4,N4:NORTH:22 | W4:WEST:29 | S4:SOUTH:6 | E4:EAST:26
2,588560,9,20,team2,48,38,48,58,4,W4:WEST:38 | S4:SOUTH:30 | E4:EAST:33 | N4:NORTH:28
2,588560,10,14,team1,48,58,62,58,4,W4:WEST:13 | S4:SOUTH:11 | E4:EAST:7 | N4:NORTH:18
3,31ABCE,1,13,team1,0,0,13,0,4,S4:SOUTH:8 | E4:EAST:0 | N4:NORTH:6 | W4:WEST:4
3,31ABCE,2,11,team2,13,0,13,11,4,S4:SOUTH:31 | E4:EAST:32 | N4:NORTH:34 | W4:WEST:39
3,31ABCE,3,13,team2,13,11,13,24,4,W4:WEST:9 | S4:SOUTH:5 | E4:EAST:3 | N4:NORTH:1
3,31ABCE,4,13,team2,13,24,13,37,4,W4:WEST:23 | S4:SOUTH:25 | E4:EAST:29 | N4:NORTH:24
3,31ABCE,5,14,team1,13,37,27,37,4,E4:EAST:12 | N4:NORTH:18 | W4:WEST:7 | S4:SOUTH:10
3,31ABCE,6,17,team2,27,37,27,54,4,N4:NORTH:11 | W4:WEST:28 | S4:SOUTH:26 | E4:EAST:17
3,31ABCE,7,7,team2,27,54,27,61,4,W4:WEST:37 | S4:SOUTH:30 | E4:EAST:36 | N4:NORTH:13
3,31ABCE,8,0,,27,61,27,61,4,W4:WEST:20 | S4:SOUTH:21 | E4:EAST:33 | N4:NORTH:22
3,31ABCE,9,20,team2,27,61,27,81,4,N4:NORTH:19 | W4:WEST:27 | S4:SOUTH:35 | E4:EAST:16
3,31ABCE,10,12,team2,27,81,27,93,4,W4:WEST:2 | S4:SOUTH:38 | E4:EAST:14 | N4:NORTH:15
4,BACE09,1,25,team2,0,0,0,25,4,S4:SOUTH:36 | E4:EAST:9 | N4:NORTH:34 | W4:WEST:39
4,BACE09,2,3,team1,0,25,3,25,4,W4:WEST:2 | S4:SOUTH:6 | E4:EAST:1 | N4:NORTH:4
4,BACE09,3,14,team1,3,25,17,25,4,S4:SOUTH:38 | E4:EAST:10 | N4:NORTH:37 | W4:WEST:33
4,BACE09,4,2,team1,17,25,19,25,4,S4:SOUTH:35 | E4:EAST:24 | N4:NORTH:30 | W4:WEST:32
4,BACE09,5,9,team2,19,25,19,34,4,S4:SOUTH:25 | E4:EAST:27 | N4:NORTH:22 | W4:WEST:26
4,BACE09,6,12,team1,19,34,31,34,4,E4:EAST:5 | N4:NORTH:23 | W4:WEST:3 | S4:SOUTH:8
4,BACE09,7,24,team1,31,34,55,34,4,S4:SOUTH:12 | E4:EAST:16 | N4:NORTH:19 | W4:WEST:18
4,BACE09,8,14,team2,55,34,55,48,4,N4:NORTH:21 | W4:WEST:7 | S4:SOUTH:20 | E4:EAST:28
4,BACE09,9,15,team2,55,48,55,63,4,E4:EAST:29 | N4:NORTH:17 | W4:WEST:31 | S4:SOUTH:14
4,BACE09,10,2,team1,55,63,57,63,3,W4:WEST:13 | S4:SOUTH:11 | E4:EAST:0
5,1AE77F,1,4,team2,0,0,0,4,4,S4:SOUTH:22 | E4:EAST:27 | N4:NORTH:24 | W4:WEST:23
5,1AE77F,2,4,team2,0,4,0,8,3,E4:EAST:11 | N4:NORTH:13 | W4:WEST:17
5,1AE77F,3,5,team2,0,8,0,13,3,W4:WEST:3 | S4:SOUTH:0 | E4:EAST:6
5,1AE77F,4,21,team1,0,13,21,13,4,E4:EAST:21 | N4:NORTH:29 | W4:WEST:4 | S4:SOUTH:28
5,1AE77F,5,17,team2,21,13,21,30,4,N4:NORTH:7 | W4:WEST:8 | S4:SOUTH:1 | E4:EAST:36
5,1AE77F,6,10,team1,21,30,31,30,3,E4:EAST:30 | N4:NORTH:38 | W4:WEST:34
5,1AE77F,7,25,team1,31,30,56,30,4,N4:NORTH:37 | W4:WEST:33 | S4:SOUTH:39 | E4:EAST:18
5,1AE77F,8,16,team2,56,30,56,46,4,S4:SOUTH:9 | E4:EAST:16 | N4:NORTH:20 | W4:WEST:35
5,1AE77F,9,16,team2,56,46,56,62,4,W4:WEST:15 | S4:SOUTH:26 | E4:EAST:19 | N4:NORTH:14
5,1AE77F,10,2,team1,56,62,58,62,4,E4:EAST:25 | N4:NORTH:31 | W4:WEST:10 | S4:SOUTH:2
6,524A4A,1,15,team2,0,0,0,15,4,S4:SOUTH:2 | E4:EAST:4 | N4:NORTH:7 | W4:WEST:9
6,524A4A,2,16,team2,0,15,0,31,4,W4:WEST:39 | S4:SOUTH:32 | E4:EAST:35 | N4:NORTH:36
6,524A4A,3,25,team1,0,31,25,31,4,W4:WEST:37 | S4:SOUTH:19 | E4:EAST:34 | N4:NORTH:38
6,524A4A,4,7,team2,25,31,25,38,4,N4:NORTH:13 | W4:WEST:30 | S4:SOUTH:17 | E4:EAST:16
6,524A4A,5,5,team2,25,38,25,43,4,W4:WEST:6 | S4:SOUTH:5 | E4:EAST:0 | N4:NORTH:3
6,524A4A,6,12,team2,25,43,25,55,4,W4:WEST:33 | S4:SOUTH:15 | E4:EAST:28 | N4:NORTH:24
6,524A4A,7,16,team2,25,55,25,71,4,W4:WEST:29 | S4:SOUTH:25 | E4:EAST:26 | N4:NORTH:23
6,524A4A,8,10,team2,25,71,25,81,4,W4:WEST:20 | S4:SOUTH:21 | E4:EAST:22 | N4:NORTH:18
6,524A4A,9,14,team1,25,81,39,81,4,E4:EAST:12 | N4:NORTH:14 | W4:WEST:27 | S4:SOUTH:8
6,524A4A,10,0,,39,81,39,81,3,N4:NORTH:10 | W4:WEST:31 | S4:SOUTH:1
7,791C67,1,21,team1,0,0,21,0,4,S4:SOUTH:39 | E4:EAST:38 | N4:NORTH:33 | W4:WEST:30
7,791C67,2,5,team1,21,0,26,0,4,S4:SOUTH:12 | E4:EAST:11 | N4:NORTH:16 | W4:WEST:15
7,791C67,3,23,team1,26,0,49,0,4,N4:NORTH:20 | W4:WEST:25 | S4:SOUTH:29 | E4:EAST:28
7,791C67,4,13,team1,49,0,62,0,4,S4:SOUTH:6 | E4:EAST:1 | N4:NORTH:8 | W4:WEST:4
7,791C67,5,16,team1,62,0,78,0,4,N4:NORTH:34 | W4:WEST:9 | S4:SOUTH:36 | E4:EAST:35
7,791C67,6,14,team1,78,0,92,0,4,S4:SOUTH:18 | E4:EAST:10 | N4:NORTH:31 | W4:WEST:17
7,791C67,7,19,team2,92,0,92,19,4,S4:SOUTH:14 | E4:EAST:7 | N4:NORTH:37 | W4:WEST:19
7,791C67,8,7,team1,92,19,99,19,4,W4:WEST:0 | S4:SOUTH:3 | E4:EAST:26 | N4:NORTH:27
7,791C67,9,0,,99,19,99,19,4,S4:SOUTH:13 | E4:EAST:22 | N4:NORTH:23 | W4:WEST:2
7,791C67,10,2,team1,99,19,101,19,4,S4:SOUTH:21 | E4:EAST:32 | N4:NORTH:24 | W4:WEST:5
8,83A0F0,1,2,team1,0,0,2,0,4,S4:SOUTH:35 | E4:EAST:30 | N4:NORTH:31 | W4:WEST:33
8,83A0F0,2,24,team1,2,0,26,0,4,S4:SOUTH:19 | E4:EAST:16 | N4:NORTH:14 | W4:WEST:18
8,83A0F0,3,17,team1,26,0,43,0,4,S4:SOUTH:9 | E4:EAST:1 | N4:NORTH:5 | W4:WEST:7
8,83A0F0,4,13,team1,43,0,56,0,4,S4:SOUTH:28 | E4:EAST:20 | N4:NORTH:26 | W4:WEST:10
8,83A0F0,5,10,team1,56,0,66,0,4,S4:SOUTH:11 | E4:EAST:38 | N4:NORTH:13 | W4:WEST:12
8,83A0F0,6,13,team2,66,0,66,13,4,N4:NORTH:0 | W4:WEST:6 | S4:SOUTH:4 | E4:EAST:8
8,83A0F0,7,10,team2,66,13,66,23,4,E4:EAST:25 | N4:NORTH:27 | W4:WEST:2 | S4:SOUTH:17
8,83A0F0,8,18,team1,66,23,84,23,4,W4:WEST:36 | S4:SOUTH:37 | E4:EAST:23 | N4:NORTH:29
8,83A0F0,9,13,team1,84,23,97,23,4,S4:SOUTH:39 | E4:EAST:22 | N4:NORTH:15 | W4:WEST:34
