timestamp,round_number,player,position,hand_before,legal_moves,chosen_card,cards_in_trick,position_in_trick,lead_suit,trump
2026-04-23T14:29:33.327956+00:00,1,Ava,SOUTH,"[5, 7, 8, 13, 16, 25, 27, 28, 36, 37]","[5, 7, 8, 13, 16, 25, 27, 28, 36, 37]",27,[],0,,♦
2026-04-23T14:29:33.445682+00:00,1,Rita,NORTH,"[2, 3, 6, 15, 17, 21, 22, 23, 24, 26]","[21, 22, 23, 24, 26]",21,"[['Ava', 27], ['Alyssa', 0]]",2,♥,♦
2026-04-23T14:29:33.492672+00:00,1,Serana,WEST,"[1, 9, 11, 14, 19, 20, 29, 31, 34, 35]","[20, 29]",29,"[['Ava', 27], ['Alyssa', 0], ['Rita', 21]]",3,♥,♦
2026-04-23T14:29:35.307554+00:00,2,Serana,WEST,"[1, 9, 11, 14, 19, 20, 31, 34, 35]","[1, 9, 11, 14, 19, 20, 31, 34, 35]",1,[],0,,♦
2026-04-23T14:29:35.404161+00:00,2,Ava,SOUTH,"[5, 7, 8, 13, 16, 25, 28, 36, 37]","[5, 7, 8]",5,"[['Serana', 1]]",1,♣,♦
2026-04-23T14:29:35.540003+00:00,2,Rita,NORTH,"[2, 3, 6, 15, 17, 22, 23, 24, 26]","[2, 3, 6]",3,"[['Serana', 1], ['Ava', 5], ['Alyssa', 4]]",3,♣,♦
2026-04-23T14:29:37.323488+00:00,3,Ava,SOUTH,"[7, 8, 13, 16, 25, 28, 36, 37]","[7, 8, 13, 16, 25, 28, 36, 37]",37,[],0,,♦
2026-04-23T14:29:37.452743+00:00,3,Rita,NORTH,"[2, 6, 15, 17, 22, 23, 24, 26]","[2, 6, 15, 17, 22, 23, 24, 26]",17,"[['Ava', 37], ['Alyssa', 30]]",2,♠,♦
2026-04-23T14:29:37.531928+00:00,3,Serana,WEST,"[9, 11, 14, 19, 20, 31, 34, 35]","[31, 34, 35]",34,"[['Ava', 37], ['Alyssa', 30], ['Rita', 17]]",3,♠,♦
2026-04-23T14:29:39.341751+00:00,4,Rita,NORTH,"[2, 6, 15, 22, 23, 24, 26]","[2, 6, 15, 22, 23, 24, 26]",26,[],0,,♦
2026-04-23T14:29:39.423506+00:00,4,Serana,WEST,"[9, 11, 14, 19, 20, 31, 35]",[20],20,"[['Rita', 26]]",1,♥,♦
2026-04-23T14:29:39.461809+00:00,4,Ava,SOUTH,"[7, 8, 13, 16, 25, 28, 36]","[25, 28]",25,"[['Rita', 26], ['Serana', 20]]",2,♥,♦
2026-04-23T14:29:41.289431+00:00,5,Rita,NORTH,"[2, 6, 15, 22, 23, 24]","[2, 6, 15, 22, 23, 24]",2,"[['Alyssa', 38]]",1,♠,♦
2026-04-23T14:29:41.312998+00:00,5,Serana,WEST,"[9, 11, 14, 19, 31, 35]","[31, 35]",35,"[['Alyssa', 38], ['Rita', 2]]",2,♠,♦
2026-04-23T14:29:41.362735+00:00,5,Ava,SOUTH,"[7, 8, 13, 16, 28, 36]",[36],36,"[['Alyssa', 38], ['Rita', 2], ['Serana', 35]]",3,♠,♦
2026-04-23T14:29:43.223753+00:00,6,Rita,NORTH,"[6, 15, 22, 23, 24]","[6, 15, 22, 23, 24]",22,"[['Alyssa', 33]]",1,♠,♦
2026-04-23T14:29:43.274530+00:00,6,Serana,WEST,"[9, 11, 14, 19, 31]",[31],31,"[['Alyssa', 33], ['Rita', 22]]",2,♠,♦
2026-04-23T14:29:43.353699+00:00,6,Ava,SOUTH,"[7, 8, 13, 16, 28]","[7, 8, 13, 16, 28]",13,"[['Alyssa', 33], ['Rita', 22], ['Serana', 31]]",3,♠,♦
2026-04-23T14:29:45.126667+00:00,7,Ava,SOUTH,"[7, 8, 16, 28]","[7, 8, 16, 28]",8,[],0,,♦
2026-04-23T14:29:45.207729+00:00,7,Rita,NORTH,"[6, 15, 23, 24]",[6],6,"[['Ava', 8], ['Alyssa', 12]]",2,♣,♦
2026-04-23T14:29:45.276062+00:00,7,Serana,WEST,"[9, 11, 14, 19]",[9],9,"[['Ava', 8], ['Alyssa', 12], ['Rita', 6]]",3,♣,♦
2026-04-23T14:29:47.121176+00:00,8,Rita,NORTH,"[15, 23, 24]",[15],15,"[['Alyssa', 18]]",1,♦,♦
2026-04-23T14:29:47.222553+00:00,8,Serana,WEST,"[11, 14, 19]","[11, 14, 19]",14,"[['Alyssa', 18], ['Rita', 15]]",2,♦,♦
2026-04-23T14:29:47.245983+00:00,8,Ava,SOUTH,"[7, 16, 28]",[16],16,"[['Alyssa', 18], ['Rita', 15], ['Serana', 14]]",3,♦,♦
2026-04-23T14:29:49.053935+00:00,9,Rita,NORTH,"[23, 24]","[23, 24]",24,"[['Alyssa', 39]]",1,♠,♦
2026-04-23T14:29:49.093567+00:00,9,Serana,WEST,"[11, 19]","[11, 19]",19,"[['Alyssa', 39], ['Rita', 24]]",2,♠,♦
2026-04-23T14:29:49.149274+00:00,9,Ava,SOUTH,"[7, 28]","[7, 28]",7,"[['Alyssa', 39], ['Rita', 24], ['Serana', 19]]",3,♠,♦
2026-04-23T14:29:50.952410+00:00,10,Serana,WEST,[11],[11],11,[],0,,♦
2026-04-23T14:29:51.019917+00:00,10,Ava,SOUTH,[28],[28],28,"[['Serana', 11]]",1,♦,♦
2026-04-23T14:29:51.101842+00:00,10,Rita,NORTH,[23],[23],23,"[['Serana', 11], ['Ava', 28], ['Alyssa', 32]]",3,♦,♦
