game_number,game_id,row_type,round_number,phase,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,cut_index,trump_choice,finished_at,round_points,round_winner_team,winner_player,winner_id,cards_played_json,team_scores_before_json,team_scores_after_json
1,239A1E,summary,,finished,1,10,team2,Team 2 (E/W),56,64,26,♥,,,2026-04-23T13:53:04.692147+00:00,,,,,,,
1,239A1E,round,1,,1,,,,,,26,♥,,,,15,team1,,,"[{""card"": ""9"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""4"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""1"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""7"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 0, ""team2"": 0}","{""team1"": 15, ""team2"": 0}"
1,239A1E,round,2,,1,,,,,,26,♥,,,,2,team2,,,"[{""card"": ""13"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""15"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""14"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""12"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 15, ""team2"": 0}","{""team1"": 15, ""team2"": 2}"
1,239A1E,round,3,,1,,,,,,26,♥,,,,2,team2,,,"[{""card"": ""35"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""31"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""33"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""32"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 15, ""team2"": 2}","{""team1"": 15, ""team2"": 4}"
1,239A1E,round,4,,1,,,,,,26,♥,,,,15,team1,,,"[{""card"": ""5"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""6"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""38"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""3"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 15, ""team2"": 4}","{""team1"": 30, ""team2"": 4}"
1,239A1E,round,5,,1,,,,,,26,♥,,,,10,team2,,,"[{""card"": ""0"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""23"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""2"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""8"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}]","{""team1"": 30, ""team2"": 4}","{""team1"": 30, ""team2"": 14}"
1,239A1E,round,6,,1,,,,,,26,♥,,,,6,team1,,,"[{""card"": ""30"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""36"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""34"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""16"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}]","{""team1"": 30, ""team2"": 14}","{""team1"": 36, ""team2"": 14}"
1,239A1E,round,7,,1,,,,,,26,♥,,,,10,team2,,,"[{""card"": ""18"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""22"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""10"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""11"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 36, ""team2"": 14}","{""team1"": 36, ""team2"": 24}"
1,239A1E,round,8,,1,,,,,,26,♥,,,,14,team2,,,"[{""card"": ""29"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""21"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""26"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""20"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 36, ""team2"": 24}","{""team1"": 36, ""team2"": 38}"
1,239A1E,round,9,,1,,,,,,26,♥,,,,20,team1,,,"[{""card"": ""25"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""28"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""17"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""27"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 36, ""team2"": 38}","{""team1"": 56, ""team2"": 38}"
1,239A1E,round,10,,1,,,,,,26,♥,,,,26,team2,,,"[{""card"": ""19"", ""player_id"": ""a8e77477"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""39"", ""player_id"": ""7151a362"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""37"", ""player_id"": ""62ab3ca9"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""24"", ""player_id"": ""f3b18cb5"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}]","{""team1"": 56, ""team2"": 38}","{""team1"": 56, ""team2"": 64}"
