game_number,game_id,row_type,round_number,phase,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,cut_index,trump_choice,finished_at,round_points,round_winner_team,winner_player,winner_id,cards_played_json,team_scores_before_json,team_scores_after_json
1,459DE7,summary,,finished,1,10,team2,Team 2 (E/W),10,110,14,♦,,,2026-04-23T14:29:52.801165+00:00,,,,,,,
1,459DE7,round,1,,1,,,,,,14,♦,,,,15,team2,,,"[{""card"": ""27"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""0"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""21"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""29"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 0, ""team2"": 0}","{""team1"": 0, ""team2"": 15}"
1,459DE7,round,2,,1,,,,,,14,♦,,,,2,team1,,,"[{""card"": ""1"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""5"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""4"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""3"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}]","{""team1"": 0, ""team2"": 15}","{""team1"": 2, ""team2"": 15}"
1,459DE7,round,3,,1,,,,,,14,♦,,,,8,team1,,,"[{""card"": ""37"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""30"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""17"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""34"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 2, ""team2"": 15}","{""team1"": 10, ""team2"": 15}"
1,459DE7,round,4,,1,,,,,,14,♦,,,,5,team2,,,"[{""card"": ""26"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""20"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""25"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""10"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}]","{""team1"": 10, ""team2"": 15}","{""team1"": 10, ""team2"": 20}"
1,459DE7,round,5,,1,,,,,,14,♦,,,,15,team2,,,"[{""card"": ""38"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""2"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""35"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""36"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 10, ""team2"": 20}","{""team1"": 10, ""team2"": 35}"
1,459DE7,round,6,,1,,,,,,14,♦,,,,0,,,,"[{""card"": ""33"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""22"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""31"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""13"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 10, ""team2"": 35}","{""team1"": 10, ""team2"": 35}"
1,459DE7,round,7,,1,,,,,,14,♦,,,,24,team2,,,"[{""card"": ""8"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}, {""card"": ""12"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""6"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""9"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}]","{""team1"": 10, ""team2"": 35}","{""team1"": 10, ""team2"": 59}"
1,459DE7,round,8,,1,,,,,,14,♦,,,,15,team2,,,"[{""card"": ""18"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""15"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""14"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""16"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 10, ""team2"": 59}","{""team1"": 10, ""team2"": 74}"
1,459DE7,round,9,,1,,,,,,14,♦,,,,26,team2,,,"[{""card"": ""39"", ""player_id"": ""f74c21a3"", ""player_name"": ""Alyssa"", ""position"": ""EAST""}, {""card"": ""24"", ""player_id"": ""e1c6d912"", ""player_name"": ""Rita"", ""position"": ""NORTH""}, {""card"": ""19"", ""player_id"": ""43120cda"", ""player_name"": ""Serana"", ""position"": ""WEST""}, {""card"": ""7"", ""player_id"": ""67bbe4ec"", ""player_name"": ""Ava"", ""position"": ""SOUTH""}]","{""team1"": 10, ""team2"": 74}","{""team1"": 10, ""team2"": 100}"
