game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
E225A4,1,S,Positions.SOUTH,16,[],0,♦,♠,"{'team1': 0, 'team2': 0}","[4, 11, 17, 29, 32, 33, 34, 36, 39]","[4, 11, 17, 29, 32, 33, 34, 36, 39]"
E225A4,1,E,Positions.EAST,10,"[{'player_id': 'aa73b079', 'player_name': 'S', 'card': '16', 'position': 'Positions.SOUTH'}, {'player_id': '6425a096', 'player_name': 'E', 'card': '10', 'position': 'Positions.EAST'}]",1,♦,♠,"{'team1': 0, 'team2': 0}","[7, 8, 9, 12, 14, 18, 23, 24, 25]","[12, 14, 18]"
E225A4,1,N,Positions.NORTH,15,"[{'player_id': 'aa73b079', 'player_name': 'S', 'card': '16', 'position': 'Positions.SOUTH'}, {'player_id': '6425a096', 'player_name': 'E', 'card': '10', 'position': 'Positions.EAST'}]",2,♦,♠,"{'team1': 0, 'team2': 0}","[2, 15, 19, 20, 21, 22, 26, 27, 30, 38]","[15, 19]"
E225A4,3,N,Positions.NORTH,22,"[{'player_id': '185a15cf', 'player_name': 'N', 'card': '22', 'position': 'Positions.NORTH'}]",0,♥,♠,"{'team1': 20, 'team2': 0}","[2, 20, 21, 22, 26, 27, 30, 38]","[2, 20, 21, 22, 26, 27, 30, 38]"
E225A4,3,W,Positions.WEST,28,"[{'player_id': '185a15cf', 'player_name': 'N', 'card': '22', 'position': 'Positions.NORTH'}]",1,♥,♠,"{'team1': 20, 'team2': 0}","[0, 3, 5, 6, 28, 31, 35, 37]",[28]
E225A4,4,S,Positions.SOUTH,4,"[{'player_id': 'aa73b079', 'player_name': 'S', 'card': '4', 'position': 'Positions.SOUTH'}]",0,♣,♠,"{'team1': 41, 'team2': 0}","[11, 32, 33, 34, 36, 39]","[11, 32, 33, 34, 36, 39]"
E225A4,4,E,Positions.EAST,7,"[{'player_id': 'aa73b079', 'player_name': 'S', 'card': '4', 'position': 'Positions.SOUTH'}]",1,♣,♠,"{'team1': 41, 'team2': 0}","[7, 8, 9, 14, 18, 24, 25]","[7, 8, 9]"
E225A4,5,E,Positions.EAST,8,"[{'player_id': '6425a096', 'player_name': 'E', 'card': '8', 'position': 'Positions.EAST'}]",0,♣,♠,"{'team1': 41, 'team2': 7}","[8, 9, 14, 18, 24, 25]","[8, 9, 14, 18, 24, 25]"
E225A4,5,N,Positions.NORTH,30,"[{'player_id': '6425a096', 'player_name': 'E', 'card': '8', 'position': 'Positions.EAST'}]",1,♣,♠,"{'team1': 41, 'team2': 7}","[20, 21, 26, 27, 30, 38]","[20, 21, 26, 27, 30, 38]"
E225A4,6,N,Positions.NORTH,26,"[{'player_id': '185a15cf', 'player_name': 'N', 'card': '26', 'position': 'Positions.NORTH'}]",0,♥,♠,"{'team1': 51, 'team2': 7}","[20, 21, 26, 27, 38]","[20, 21, 26, 27, 38]"
