game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
00F4E7,1,S,Positions.SOUTH,26,[],0,♥,♣,"{'team1': 0, 'team2': 0}","[2, 3, 8, 13, 14, 18, 21, 26, 28, 38]","[2, 3, 8, 13, 14, 18, 21, 26, 28, 38]"
00F4E7,1,E,Positions.EAST,20,"[{'player_id': 'ddab613b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}, {'player_id': 'ca3b103d', 'player_name': 'E', 'card': '20', 'position': 'Positions.EAST'}]",1,♥,♣,"{'team1': 0, 'team2': 0}","[4, 7, 19, 22, 29, 30, 32, 33, 35]","[22, 29]"
00F4E7,1,N,Positions.NORTH,23,"[{'player_id': 'ddab613b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}, {'player_id': 'ca3b103d', 'player_name': 'E', 'card': '20', 'position': 'Positions.EAST'}]",2,♥,♣,"{'team1': 0, 'team2': 0}","[1, 5, 6, 11, 12, 23, 25, 31, 36, 37]","[23, 25]"
00F4E7,1,W,Positions.WEST,27,"[{'player_id': 'ddab613b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}, {'player_id': 'ca3b103d', 'player_name': 'E', 'card': '20', 'position': 'Positions.EAST'}, {'player_id': 'c29a54d0', 'player_name': 'N', 'card': '23', 'position': 'Positions.NORTH'}]",3,♥,♣,"{'team1': 0, 'team2': 0}","[0, 9, 10, 15, 16, 17, 24, 27, 34, 39]","[24, 27]"
00F4E7,2,W,Positions.WEST,34,[],0,,♣,"{'team1': 0, 'team2': 7}","[0, 9, 10, 15, 16, 17, 24, 34, 39]","[0, 9, 10, 15, 16, 17, 24, 34, 39]"
00F4E7,2,S,Positions.SOUTH,38,"[{'player_id': '96a99562', 'player_name': 'W', 'card': '34', 'position': 'Positions.WEST'}, {'player_id': 'ddab613b', 'player_name': 'S', 'card': '38', 'position': 'Positions.SOUTH'}]",1,♠,♣,"{'team1': 0, 'team2': 7}","[2, 3, 8, 13, 14, 18, 21, 28, 38]",[38]
00F4E7,2,E,Positions.EAST,30,"[{'player_id': '96a99562', 'player_name': 'W', 'card': '34', 'position': 'Positions.WEST'}, {'player_id': 'ddab613b', 'player_name': 'S', 'card': '38', 'position': 'Positions.SOUTH'}]",2,♠,♣,"{'team1': 0, 'team2': 7}","[4, 7, 19, 22, 29, 30, 32, 33, 35]","[30, 32, 33, 35]"
00F4E7,2,N,Positions.NORTH,31,"[{'player_id': '96a99562', 'player_name': 'W', 'card': '34', 'position': 'Positions.WEST'}, {'player_id': 'ddab613b', 'player_name': 'S', 'card': '38', 'position': 'Positions.SOUTH'}, {'player_id': 'ca3b103d', 'player_name': 'E', 'card': '30', 'position': 'Positions.EAST'}]",3,♠,♣,"{'team1': 0, 'team2': 7}","[1, 5, 6, 11, 12, 25, 31, 36, 37]","[31, 36, 37]"
00F4E7,3,S,Positions.SOUTH,14,"[{'player_id': 'ddab613b', 'player_name': 'S', 'card': '14', 'position': 'Positions.SOUTH'}]",0,♦,♣,"{'team1': 10, 'team2': 7}","[2, 3, 8, 13, 18, 21, 28]","[2, 3, 8, 13, 18, 21, 28]"
00F4E7,3,E,Positions.EAST,19,"[{'player_id': 'ddab613b', 'player_name': 'S', 'card': '14', 'position': 'Positions.SOUTH'}]",1,♦,♣,"{'team1': 10, 'team2': 7}","[4, 7, 19, 22, 29, 32, 33, 35]",[19]
