game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
D9AC96,1,S,Positions.SOUTH,33,[],0,♠,♣,"{'team1': 0, 'team2': 0}","[1, 2, 7, 8, 9, 14, 21, 32, 38]","[1, 2, 7, 8, 9, 14, 21, 32, 38]"
D9AC96,1,E,Positions.EAST,30,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '33', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '30', 'position': 'Positions.EAST'}]",1,♠,♣,"{'team1': 0, 'team2': 0}","[0, 4, 10, 15, 17, 18, 20, 23, 25, 30]",[30]
D9AC96,1,N,Positions.NORTH,31,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '33', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '30', 'position': 'Positions.EAST'}]",2,♠,♣,"{'team1': 0, 'team2': 0}","[12, 16, 19, 22, 24, 26, 27, 31, 35, 37]","[31, 35, 37]"
D9AC96,2,S,Positions.SOUTH,14,"[{'player_id': '72161ca9', 'player_name': 'W', 'card': '11', 'position': 'Positions.WEST'}]",1,♦,♣,"{'team1': 0, 'team2': 3}","[1, 2, 7, 8, 9, 21, 32, 38]","[1, 2, 7, 8, 9, 21, 32, 38]"
D9AC96,3,S,Positions.SOUTH,32,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '32', 'position': 'Positions.SOUTH'}]",0,♠,♣,"{'team1': 0, 'team2': 3}","[1, 2, 7, 8, 9, 21, 38]","[1, 2, 7, 8, 9, 21, 38]"
D9AC96,3,E,Positions.EAST,0,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '32', 'position': 'Positions.SOUTH'}]",1,♠,♣,"{'team1': 0, 'team2': 3}","[0, 4, 15, 17, 18, 20, 23, 25]","[0, 4, 15, 17, 18, 20, 23, 25]"
D9AC96,4,E,Positions.EAST,25,[],0,♥,♣,"{'team1': 0, 'team2': 16}","[4, 15, 17, 18, 20, 23, 25]","[4, 15, 17, 18, 20, 23, 25]"
D9AC96,4,N,Positions.NORTH,22,"[{'player_id': '1d883d93', 'player_name': 'E', 'card': '25', 'position': 'Positions.EAST'}, {'player_id': '86673c07', 'player_name': 'N', 'card': '22', 'position': 'Positions.NORTH'}]",1,♥,♣,"{'team1': 0, 'team2': 16}","[16, 19, 24, 26, 27, 37]","[24, 26, 27]"
D9AC96,4,W,Positions.WEST,28,"[{'player_id': '1d883d93', 'player_name': 'E', 'card': '25', 'position': 'Positions.EAST'}, {'player_id': '86673c07', 'player_name': 'N', 'card': '22', 'position': 'Positions.NORTH'}]",2,♥,♣,"{'team1': 0, 'team2': 16}","[3, 5, 6, 13, 28, 29, 34]","[28, 29]"
D9AC96,5,S,Positions.SOUTH,1,"[{'player_id': '72161ca9', 'player_name': 'W', 'card': '13', 'position': 'Positions.WEST'}]",1,♦,♣,"{'team1': 0, 'team2': 28}","[2, 7, 8, 9, 38]","[2, 7, 8, 9, 38]"
D9AC96,6,S,Positions.SOUTH,38,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '38', 'position': 'Positions.SOUTH'}]",0,♠,♣,"{'team1': 5, 'team2': 28}","[2, 7, 8, 9]","[2, 7, 8, 9]"
D9AC96,6,E,Positions.EAST,4,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '38', 'position': 'Positions.SOUTH'}]",1,♠,♣,"{'team1': 5, 'team2': 28}","[4, 17, 18, 20, 23]","[4, 17, 18, 20, 23]"
D9AC96,7,E,Positions.EAST,17,[],0,♦,♣,"{'team1': 5, 'team2': 42}","[17, 18, 20, 23]","[17, 18, 20, 23]"
D9AC96,7,N,Positions.NORTH,19,"[{'player_id': '1d883d93', 'player_name': 'E', 'card': '17', 'position': 'Positions.EAST'}, {'player_id': '86673c07', 'player_name': 'N', 'card': '19', 'position': 'Positions.NORTH'}]",1,♦,♣,"{'team1': 5, 'team2': 42}","[19, 24, 26, 27]",[19]
D9AC96,7,W,Positions.WEST,5,"[{'player_id': '1d883d93', 'player_name': 'E', 'card': '17', 'position': 'Positions.EAST'}, {'player_id': '86673c07', 'player_name': 'N', 'card': '19', 'position': 'Positions.NORTH'}]",2,♦,♣,"{'team1': 5, 'team2': 42}","[3, 5, 6, 29]","[3, 5, 6, 29]"
D9AC96,8,E,Positions.EAST,20,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '9', 'position': 'Positions.SOUTH'}]",1,♣,♣,"{'team1': 26, 'team2': 42}","[18, 20, 23]","[18, 20, 23]"
D9AC96,9,S,Positions.SOUTH,8,[],0,♣,♣,"{'team1': 40, 'team2': 42}",[2],[2]
D9AC96,9,E,Positions.EAST,23,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '8', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '23', 'position': 'Positions.EAST'}]",1,♣,♣,"{'team1': 40, 'team2': 42}",[18],[18]
D9AC96,9,N,Positions.NORTH,26,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '8', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '23', 'position': 'Positions.EAST'}]",2,♣,♣,"{'team1': 40, 'team2': 42}","[26, 27]","[26, 27]"
D9AC96,10,S,Positions.SOUTH,2,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '2', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '18', 'position': 'Positions.EAST'}]",0,♣,♣,"{'team1': 53, 'team2': 42}",[],[]
D9AC96,10,E,Positions.EAST,18,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '2', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '18', 'position': 'Positions.EAST'}]",1,♣,♣,"{'team1': 53, 'team2': 42}",[18],[18]
D9AC96,10,N,Positions.NORTH,27,"[{'player_id': '1bd6cafb', 'player_name': 'S', 'card': '2', 'position': 'Positions.SOUTH'}, {'player_id': '1d883d93', 'player_name': 'E', 'card': '18', 'position': 'Positions.EAST'}]",2,♣,♣,"{'team1': 53, 'team2': 42}",[27],[27]
