game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
2234DE,1,S,Positions.SOUTH,5,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}]",0,♣,♥,"{'team1': 0, 'team2': 0}","[2, 9, 14, 15, 18, 25, 27, 32, 33]","[2, 9, 14, 15, 18, 25, 27, 32, 33]"
2234DE,1,E,Positions.EAST,3,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}]",1,♣,♥,"{'team1': 0, 'team2': 0}","[3, 7, 12, 13, 17, 19, 20, 29, 30, 36]","[3, 7]"
2234DE,1,N,Positions.NORTH,0,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '3', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",2,♣,♥,"{'team1': 0, 'team2': 0}","[0, 1, 8, 10, 16, 22, 24, 31, 37, 38]","[0, 1, 8]"
2234DE,1,W,Positions.WEST,6,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '3', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",3,♣,♥,"{'team1': 0, 'team2': 0}","[4, 6, 11, 21, 23, 26, 28, 34, 35, 39]","[4, 6]"
2234DE,2,E,Positions.EAST,12,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '11', 'position': 'Positions.WEST'}, {'player_id': '16c9a699', 'player_name': 'S', 'card': '14', 'position': 'Positions.SOUTH'}]",2,♦,♥,"{'team1': 0, 'team2': 5}","[7, 12, 13, 17, 19, 20, 29, 30, 36]","[12, 13, 17, 19]"
2234DE,3,E,Positions.EAST,13,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '15', 'position': 'Positions.SOUTH'}]",1,♦,♥,"{'team1': 0, 'team2': 5}","[7, 13, 17, 19, 20, 29, 30, 36]","[13, 17, 19]"
2234DE,3,N,Positions.NORTH,16,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '15', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '13', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '16', 'position': 'Positions.NORTH'}]",2,♦,♥,"{'team1': 0, 'team2': 5}","[1, 8, 22, 24, 31, 37, 38]","[1, 8, 22, 24, 31, 37, 38]"
2234DE,3,W,Positions.WEST,39,"[{'player_id': '16c9a699', 'player_name': 'S', 'card': '15', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '13', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '16', 'position': 'Positions.NORTH'}]",3,♦,♥,"{'team1': 0, 'team2': 5}","[4, 21, 23, 26, 28, 34, 35, 39]","[4, 21, 23, 26, 28, 34, 35, 39]"
2234DE,4,W,Positions.WEST,34,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '37', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '34', 'position': 'Positions.WEST'}]",1,♠,♥,"{'team1': 16, 'team2': 5}","[4, 21, 23, 26, 28, 35]",[35]
2234DE,4,S,Positions.SOUTH,32,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '37', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '34', 'position': 'Positions.WEST'}]",2,♠,♥,"{'team1': 16, 'team2': 5}","[2, 9, 18, 25, 27, 32, 33]","[32, 33]"
2234DE,5,N,Positions.NORTH,8,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '8', 'position': 'Positions.NORTH'}]",0,♣,♥,"{'team1': 20, 'team2': 5}","[1, 22, 24, 31, 38]","[1, 22, 24, 31, 38]"
2234DE,5,W,Positions.WEST,4,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '8', 'position': 'Positions.NORTH'}]",1,♣,♥,"{'team1': 20, 'team2': 5}","[4, 21, 23, 26, 28, 35]",[4]
2234DE,5,S,Positions.SOUTH,2,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '8', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '4', 'position': 'Positions.WEST'}]",2,♣,♥,"{'team1': 20, 'team2': 5}","[9, 18, 25, 27, 33]",[9]
2234DE,6,N,Positions.NORTH,31,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '31', 'position': 'Positions.NORTH'}]",0,♠,♥,"{'team1': 34, 'team2': 5}","[1, 22, 24, 31, 38]","[1, 22, 24, 31, 38]"
2234DE,6,W,Positions.WEST,35,"[{'player_id': '51959c15', 'player_name': 'N', 'card': '31', 'position': 'Positions.NORTH'}]",1,♠,♥,"{'team1': 34, 'team2': 5}","[21, 23, 26, 28]","[21, 23, 26, 28]"
2234DE,7,E,Positions.EAST,19,"[{'player_id': '392896de', 'player_name': 'E', 'card': '19', 'position': 'Positions.EAST'}]",0,♦,♥,"{'team1': 34, 'team2': 10}","[17, 20, 29]","[17, 20, 29]"
2234DE,7,N,Positions.NORTH,22,"[{'player_id': '392896de', 'player_name': 'E', 'card': '19', 'position': 'Positions.EAST'}]",1,♦,♥,"{'team1': 34, 'team2': 10}","[1, 22, 24, 38]","[1, 22, 24, 38]"
2234DE,8,W,Positions.WEST,26,[],0,♥,♥,"{'team1': 34, 'team2': 31}","[21, 26, 28]","[21, 26, 28]"
2234DE,8,S,Positions.SOUTH,25,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '26', 'position': 'Positions.WEST'}, {'player_id': '16c9a699', 'player_name': 'S', 'card': '25', 'position': 'Positions.SOUTH'}]",1,♥,♥,"{'team1': 34, 'team2': 31}","[9, 27]",[27]
2234DE,8,E,Positions.EAST,20,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '26', 'position': 'Positions.WEST'}, {'player_id': '16c9a699', 'player_name': 'S', 'card': '25', 'position': 'Positions.SOUTH'}]",2,♥,♥,"{'team1': 34, 'team2': 31}","[17, 20, 29]","[20, 29]"
2234DE,9,S,Positions.SOUTH,27,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '21', 'position': 'Positions.WEST'}]",1,♥,♥,"{'team1': 34, 'team2': 36}",[9],[9]
2234DE,9,E,Positions.EAST,29,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '21', 'position': 'Positions.WEST'}, {'player_id': '16c9a699', 'player_name': 'S', 'card': '27', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '29', 'position': 'Positions.EAST'}]",2,♥,♥,"{'team1': 34, 'team2': 36}","[17, 29]",[29]
2234DE,9,N,Positions.NORTH,1,"[{'player_id': '3377c671', 'player_name': 'W', 'card': '21', 'position': 'Positions.WEST'}, {'player_id': '16c9a699', 'player_name': 'S', 'card': '27', 'position': 'Positions.SOUTH'}, {'player_id': '392896de', 'player_name': 'E', 'card': '29', 'position': 'Positions.EAST'}]",3,♥,♥,"{'team1': 34, 'team2': 36}","[1, 38]","[1, 38]"
2234DE,10,N,Positions.NORTH,38,"[{'player_id': '392896de', 'player_name': 'E', 'card': '17', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '38', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '28', 'position': 'Positions.WEST'}]",1,♦,♥,"{'team1': 34, 'team2': 51}",[38],[38]
2234DE,10,W,Positions.WEST,28,"[{'player_id': '392896de', 'player_name': 'E', 'card': '17', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '38', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '28', 'position': 'Positions.WEST'}]",2,♦,♥,"{'team1': 34, 'team2': 51}",[28],[28]
2234DE,10,S,Positions.SOUTH,9,"[{'player_id': '392896de', 'player_name': 'E', 'card': '17', 'position': 'Positions.EAST'}, {'player_id': '51959c15', 'player_name': 'N', 'card': '38', 'position': 'Positions.NORTH'}, {'player_id': '3377c671', 'player_name': 'W', 'card': '28', 'position': 'Positions.WEST'}]",3,♦,♥,"{'team1': 34, 'team2': 51}",[9],[9]
