game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
BD815D,1,S,Positions.SOUTH,26,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}]",0,♥,♦,"{'team1': 0, 'team2': 0}","[2, 3, 7, 8, 9, 13, 24, 30, 38]","[2, 3, 7, 8, 9, 13, 24, 30, 38]"
BD815D,1,E,Positions.EAST,22,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}]",1,♥,♦,"{'team1': 0, 'team2': 0}","[4, 10, 12, 14, 16, 18, 19, 22, 28, 39]","[22, 28]"
BD815D,1,N,Positions.NORTH,21,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '22', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '21', 'position': 'Positions.NORTH'}]",2,♥,♦,"{'team1': 0, 'team2': 0}","[0, 1, 5, 6, 15, 27, 33, 35, 36]",[27]
BD815D,1,W,Positions.WEST,23,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '26', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '22', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '21', 'position': 'Positions.NORTH'}]",3,♥,♦,"{'team1': 0, 'team2': 0}","[11, 17, 20, 23, 25, 29, 31, 32, 34, 37]","[20, 23, 25, 29]"
BD815D,2,E,Positions.EAST,4,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '7', 'position': 'Positions.SOUTH'}]",1,♣,♦,"{'team1': 3, 'team2': 0}","[4, 10, 12, 14, 16, 18, 19, 28, 39]",[4]
BD815D,2,N,Positions.NORTH,0,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '7', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '4', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",2,♣,♦,"{'team1': 3, 'team2': 0}","[1, 5, 6, 15, 27, 33, 35, 36]","[1, 5, 6]"
BD815D,2,W,Positions.WEST,32,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '7', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '4', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",3,♣,♦,"{'team1': 3, 'team2': 0}","[11, 17, 20, 25, 29, 31, 32, 34, 37]","[11, 17, 20, 25, 29, 31, 32, 34, 37]"
BD815D,3,E,Positions.EAST,28,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '24', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '28', 'position': 'Positions.EAST'}]",1,♥,♦,"{'team1': 7, 'team2': 0}","[10, 12, 14, 16, 18, 19, 28, 39]",[28]
BD815D,3,N,Positions.NORTH,27,"[{'player_id': '0eda2c5b', 'player_name': 'S', 'card': '24', 'position': 'Positions.SOUTH'}, {'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '28', 'position': 'Positions.EAST'}]",2,♥,♦,"{'team1': 7, 'team2': 0}","[1, 5, 6, 15, 27, 33, 35, 36]",[27]
BD815D,4,E,Positions.EAST,39,[],0,♠,♦,"{'team1': 7, 'team2': 14}","[10, 12, 14, 16, 18, 19, 39]","[10, 12, 14, 16, 18, 19, 39]"
BD815D,4,N,Positions.NORTH,33,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '39', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '33', 'position': 'Positions.NORTH'}]",1,♠,♦,"{'team1': 7, 'team2': 14}","[1, 5, 6, 15, 35, 36]","[35, 36]"
BD815D,4,W,Positions.WEST,31,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '39', 'position': 'Positions.EAST'}, {'player_id': '1faf263d', 'player_name': 'N', 'card': '33', 'position': 'Positions.NORTH'}]",2,♠,♦,"{'team1': 7, 'team2': 14}","[11, 17, 25, 29, 31, 34, 37]","[31, 34, 37]"
BD815D,5,N,Positions.NORTH,15,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '10', 'position': 'Positions.EAST'}]",1,♦,♦,"{'team1': 7, 'team2': 25}","[1, 5, 6, 35, 36]","[1, 5, 6, 35, 36]"
BD815D,6,N,Positions.NORTH,35,[],0,♠,♦,"{'team1': 9, 'team2': 25}","[1, 5, 6, 35, 36]","[1, 5, 6, 35, 36]"
BD815D,6,W,Positions.WEST,37,"[{'player_id': '1faf263d', 'player_name': 'N', 'card': '35', 'position': 'Positions.NORTH'}]",1,♠,♦,"{'team1': 9, 'team2': 25}","[17, 25, 29, 34, 37]","[34, 37]"
BD815D,7,E,Positions.EAST,14,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '14', 'position': 'Positions.EAST'}]",0,♦,♦,"{'team1': 9, 'team2': 41}","[14, 16, 18, 19]","[14, 16, 18, 19]"
BD815D,7,N,Positions.NORTH,1,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '14', 'position': 'Positions.EAST'}]",1,♦,♦,"{'team1': 9, 'team2': 41}","[5, 6, 36]","[5, 6, 36]"
BD815D,8,W,Positions.WEST,25,[],0,♥,♦,"{'team1': 9, 'team2': 45}","[25, 29, 34]","[25, 29, 34]"
BD815D,8,S,Positions.SOUTH,3,"[{'player_id': '252825bb', 'player_name': 'W', 'card': '25', 'position': 'Positions.WEST'}, {'player_id': '0eda2c5b', 'player_name': 'S', 'card': '3', 'position': 'Positions.SOUTH'}]",1,♥,♦,"{'team1': 9, 'team2': 45}","[8, 9]","[8, 9]"
BD815D,8,E,Positions.EAST,16,"[{'player_id': '252825bb', 'player_name': 'W', 'card': '25', 'position': 'Positions.WEST'}, {'player_id': '0eda2c5b', 'player_name': 'S', 'card': '3', 'position': 'Positions.SOUTH'}]",2,♥,♦,"{'team1': 9, 'team2': 45}","[16, 18, 19]","[16, 18, 19]"
BD815D,9,E,Positions.EAST,19,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '19', 'position': 'Positions.EAST'}]",0,♦,♦,"{'team1': 9, 'team2': 52}",[18],[18]
BD815D,9,N,Positions.NORTH,6,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '19', 'position': 'Positions.EAST'}]",1,♦,♦,"{'team1': 9, 'team2': 52}",[36],[36]
BD815D,10,E,Positions.EAST,18,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '18', 'position': 'Positions.EAST'}]",0,♦,♦,"{'team1': 9, 'team2': 76}",[18],[18]
BD815D,10,N,Positions.NORTH,36,"[{'player_id': 'd4b0d6c7', 'player_name': 'E', 'card': '18', 'position': 'Positions.EAST'}]",1,♦,♦,"{'team1': 9, 'team2': 76}",[],[]
