game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
678090,1,S,Positions.SOUTH,16,"[{'player_id': '319d40b3', 'player_name': 'S', 'card': '16', 'position': 'Positions.SOUTH'}]",0,♦,♣,"{'team1': 0, 'team2': 0}","[8, 10, 17, 19, 21, 27, 32, 33, 39]","[8, 10, 17, 19, 21, 27, 32, 33, 39]"
678090,1,E,Positions.EAST,12,"[{'player_id': '319d40b3', 'player_name': 'S', 'card': '16', 'position': 'Positions.SOUTH'}]",1,♦,♣,"{'team1': 0, 'team2': 0}","[2, 3, 6, 9, 12, 13, 20, 25, 29, 36]","[12, 13]"
678090,1,N,Positions.NORTH,18,"[{'player_id': '319d40b3', 'player_name': 'S', 'card': '16', 'position': 'Positions.SOUTH'}, {'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '12', 'position': 'Positions.EAST'}]",2,♦,♣,"{'team1': 0, 'team2': 0}","[0, 5, 18, 23, 24, 28, 31, 34, 37, 38]",[18]
678090,2,W,Positions.WEST,30,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '34', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '30', 'position': 'Positions.WEST'}]",1,♠,♣,"{'team1': 13, 'team2': 0}","[1, 4, 7, 14, 15, 22, 26, 35]",[35]
678090,2,S,Positions.SOUTH,32,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '34', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '30', 'position': 'Positions.WEST'}]",2,♠,♣,"{'team1': 13, 'team2': 0}","[8, 10, 17, 19, 21, 27, 32, 33, 39]","[32, 33, 39]"
678090,3,N,Positions.NORTH,23,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '25', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '23', 'position': 'Positions.NORTH'}]",1,♥,♣,"{'team1': 13, 'team2': 3}","[0, 5, 23, 24, 28, 31, 37, 38]","[23, 24, 28]"
678090,3,W,Positions.WEST,22,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '25', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '23', 'position': 'Positions.NORTH'}]",2,♥,♣,"{'team1': 13, 'team2': 3}","[1, 4, 7, 14, 15, 22, 26, 35]","[22, 26]"
678090,4,N,Positions.NORTH,0,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '13', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",1,♦,♣,"{'team1': 13, 'team2': 5}","[0, 5, 24, 28, 31, 37, 38]","[0, 5, 24, 28, 31, 37, 38]"
678090,4,W,Positions.WEST,15,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '13', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '0', 'position': 'Positions.NORTH'}]",2,♦,♣,"{'team1': 13, 'team2': 5}","[1, 4, 7, 14, 15, 26, 35]","[14, 15]"
678090,5,N,Positions.NORTH,37,[],0,♠,♣,"{'team1': 15, 'team2': 5}","[5, 24, 28, 31, 37, 38]","[5, 24, 28, 31, 37, 38]"
678090,5,W,Positions.WEST,35,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '37', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '35', 'position': 'Positions.WEST'}]",1,♠,♣,"{'team1': 15, 'team2': 5}","[1, 4, 7, 14, 26]","[1, 4, 7, 14, 26]"
678090,5,S,Positions.SOUTH,33,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '37', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '35', 'position': 'Positions.WEST'}]",2,♠,♣,"{'team1': 15, 'team2': 5}","[8, 17, 19, 27, 33, 39]","[33, 39]"
678090,6,N,Positions.NORTH,28,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '28', 'position': 'Positions.NORTH'}]",0,♥,♣,"{'team1': 21, 'team2': 5}","[5, 24, 31, 38]","[5, 24, 31, 38]"
678090,6,W,Positions.WEST,26,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '28', 'position': 'Positions.NORTH'}]",1,♥,♣,"{'team1': 21, 'team2': 5}","[1, 4, 7, 14, 26]",[26]
678090,6,S,Positions.SOUTH,27,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '28', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '26', 'position': 'Positions.WEST'}, {'player_id': '319d40b3', 'player_name': 'S', 'card': '27', 'position': 'Positions.SOUTH'}]",2,♥,♣,"{'team1': 21, 'team2': 5}","[8, 17, 19, 39]","[8, 17, 19, 39]"
678090,6,E,Positions.EAST,29,"[{'player_id': 'fe68706a', 'player_name': 'N', 'card': '28', 'position': 'Positions.NORTH'}, {'player_id': 'ff22fead', 'player_name': 'W', 'card': '26', 'position': 'Positions.WEST'}, {'player_id': '319d40b3', 'player_name': 'S', 'card': '27', 'position': 'Positions.SOUTH'}]",3,♥,♣,"{'team1': 21, 'team2': 5}","[2, 3, 6, 9, 29]",[29]
678090,7,N,Positions.NORTH,5,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '2', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '5', 'position': 'Positions.NORTH'}]",1,♣,♣,"{'team1': 21, 'team2': 33}","[24, 31, 38]","[24, 31, 38]"
678090,7,W,Positions.WEST,1,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '2', 'position': 'Positions.EAST'}, {'player_id': 'fe68706a', 'player_name': 'N', 'card': '5', 'position': 'Positions.NORTH'}]",2,♣,♣,"{'team1': 21, 'team2': 33}","[1, 4, 7, 14]","[1, 4, 7]"
678090,8,E,Positions.EAST,3,"[{'player_id': '319d40b3', 'player_name': 'S', 'card': '19', 'position': 'Positions.SOUTH'}, {'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '3', 'position': 'Positions.EAST'}]",1,♦,♣,"{'team1': 33, 'team2': 33}","[3, 6, 9]","[3, 6, 9]"
678090,8,N,Positions.NORTH,31,"[{'player_id': '319d40b3', 'player_name': 'S', 'card': '19', 'position': 'Positions.SOUTH'}, {'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '3', 'position': 'Positions.EAST'}]",2,♦,♣,"{'team1': 33, 'team2': 33}","[24, 31, 38]","[24, 31, 38]"
678090,9,E,Positions.EAST,9,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '9', 'position': 'Positions.EAST'}]",0,♣,♣,"{'team1': 33, 'team2': 44}",[6],[6]
678090,9,N,Positions.NORTH,24,"[{'player_id': 'd1d4aaaf', 'player_name': 'E', 'card': '9', 'position': 'Positions.EAST'}]",1,♣,♣,"{'team1': 33, 'team2': 44}","[24, 38]","[24, 38]"
