game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
3281DC,1,S,Positions.SOUTH,5,[],0,♣,♥,"{'team1': 0, 'team2': 0}","[5, 12, 17, 21, 23, 25, 33, 34, 35, 36]","[5, 12, 17, 21, 23, 25, 33, 34, 35, 36]"
3281DC,1,E,Positions.EAST,6,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}, {'player_id': '24caa4d3', 'player_name': 'E', 'card': '6', 'position': 'Positions.EAST'}]",1,♣,♥,"{'team1': 0, 'team2': 0}","[7, 8, 10, 13, 15, 16, 19, 20, 39]","[7, 8]"
3281DC,1,N,Positions.NORTH,1,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '5', 'position': 'Positions.SOUTH'}, {'player_id': '24caa4d3', 'player_name': 'E', 'card': '6', 'position': 'Positions.EAST'}]",2,♣,♥,"{'team1': 0, 'team2': 0}","[1, 3, 4, 14, 26, 28, 29, 30, 31, 32]","[1, 3, 4]"
3281DC,2,S,Positions.SOUTH,33,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '38', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '33', 'position': 'Positions.SOUTH'}]",1,♠,♥,"{'team1': 0, 'team2': 16}","[12, 17, 21, 23, 25, 34, 35, 36]","[34, 35, 36]"
3281DC,2,E,Positions.EAST,39,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '38', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '33', 'position': 'Positions.SOUTH'}]",2,♠,♥,"{'team1': 0, 'team2': 16}","[7, 8, 10, 13, 15, 16, 19, 20, 39]",[39]
3281DC,3,E,Positions.EAST,16,"[{'player_id': '24caa4d3', 'player_name': 'E', 'card': '16', 'position': 'Positions.EAST'}]",0,♦,♥,"{'team1': 0, 'team2': 37}","[7, 8, 10, 13, 15, 19, 20]","[7, 8, 10, 13, 15, 19, 20]"
3281DC,3,N,Positions.NORTH,14,"[{'player_id': '24caa4d3', 'player_name': 'E', 'card': '16', 'position': 'Positions.EAST'}]",1,♦,♥,"{'team1': 0, 'team2': 37}","[3, 4, 14, 26, 28, 29, 31, 32]",[14]
3281DC,3,W,Positions.WEST,18,"[{'player_id': '24caa4d3', 'player_name': 'E', 'card': '16', 'position': 'Positions.EAST'}, {'player_id': '24670894', 'player_name': 'N', 'card': '14', 'position': 'Positions.NORTH'}]",2,♦,♥,"{'team1': 0, 'team2': 37}","[0, 2, 11, 22, 24, 27, 37]",[11]
3281DC,4,S,Positions.SOUTH,21,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '0', 'position': 'Positions.WEST'}]",1,♣,♥,"{'team1': 0, 'team2': 50}","[17, 21, 23, 25, 34, 35, 36]","[17, 21, 23, 25, 34, 35, 36]"
3281DC,5,S,Positions.SOUTH,36,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '36', 'position': 'Positions.SOUTH'}]",0,♠,♥,"{'team1': 4, 'team2': 50}","[17, 23, 25, 34, 35]","[17, 23, 25, 34, 35]"
3281DC,5,E,Positions.EAST,10,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '36', 'position': 'Positions.SOUTH'}]",1,♠,♥,"{'team1': 4, 'team2': 50}","[8, 10, 13, 15, 19, 20]","[8, 10, 13, 15, 19, 20]"
3281DC,5,N,Positions.NORTH,31,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '36', 'position': 'Positions.SOUTH'}, {'player_id': '24caa4d3', 'player_name': 'E', 'card': '10', 'position': 'Positions.EAST'}]",2,♠,♥,"{'team1': 4, 'team2': 50}","[4, 26, 28, 29, 31, 32]","[31, 32]"
3281DC,6,S,Positions.SOUTH,17,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '11', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '17', 'position': 'Positions.SOUTH'}]",1,♦,♥,"{'team1': 4, 'team2': 57}","[23, 25, 34, 35]","[23, 25, 34, 35]"
3281DC,6,E,Positions.EAST,13,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '11', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '17', 'position': 'Positions.SOUTH'}]",2,♦,♥,"{'team1': 4, 'team2': 57}","[8, 13, 15, 19, 20]","[13, 15, 19]"
3281DC,7,S,Positions.SOUTH,35,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '35', 'position': 'Positions.SOUTH'}]",0,♠,♥,"{'team1': 8, 'team2': 57}","[23, 25, 34]","[23, 25, 34]"
3281DC,7,E,Positions.EAST,20,"[{'player_id': '8260b797', 'player_name': 'S', 'card': '35', 'position': 'Positions.SOUTH'}]",1,♠,♥,"{'team1': 8, 'team2': 57}","[8, 15, 19, 20]","[8, 15, 19, 20]"
3281DC,8,W,Positions.WEST,27,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '27', 'position': 'Positions.WEST'}]",0,♥,♥,"{'team1': 8, 'team2': 59}","[2, 24]","[2, 24]"
3281DC,8,S,Positions.SOUTH,23,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '27', 'position': 'Positions.WEST'}]",1,♥,♥,"{'team1': 8, 'team2': 59}","[23, 25, 34]","[23, 25]"
3281DC,8,E,Positions.EAST,15,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '27', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '23', 'position': 'Positions.SOUTH'}]",2,♥,♥,"{'team1': 8, 'team2': 59}","[8, 15, 19]","[8, 15, 19]"
3281DC,9,S,Positions.SOUTH,25,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '24', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '25', 'position': 'Positions.SOUTH'}]",1,♥,♥,"{'team1': 8, 'team2': 68}",[34],[34]
3281DC,9,E,Positions.EAST,8,"[{'player_id': 'a14e6209', 'player_name': 'W', 'card': '24', 'position': 'Positions.WEST'}, {'player_id': '8260b797', 'player_name': 'S', 'card': '25', 'position': 'Positions.SOUTH'}]",2,♥,♥,"{'team1': 8, 'team2': 68}","[8, 19]","[8, 19]"
3281DC,10,N,Positions.NORTH,29,"[{'player_id': '24670894', 'player_name': 'N', 'card': '29', 'position': 'Positions.NORTH'}]",0,♥,♥,"{'team1': 30, 'team2': 68}",[],[]
3281DC,10,W,Positions.WEST,2,"[{'player_id': '24670894', 'player_name': 'N', 'card': '29', 'position': 'Positions.NORTH'}]",1,♥,♥,"{'team1': 30, 'team2': 68}",[2],[2]
3281DC,10,S,Positions.SOUTH,34,"[{'player_id': '24670894', 'player_name': 'N', 'card': '29', 'position': 'Positions.NORTH'}, {'player_id': 'a14e6209', 'player_name': 'W', 'card': '2', 'position': 'Positions.WEST'}]",2,♥,♥,"{'team1': 30, 'team2': 68}",[],[]
