game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
A38F21,1,S,Positions.SOUTH,4,"[{'player_id': '6dc424c4', 'player_name': 'S', 'card': '4', 'position': 'Positions.SOUTH'}]",0,♣,♥,"{'team1': 0, 'team2': 0}","[2, 3, 10, 17, 19, 24, 26, 30, 35]","[2, 3, 10, 17, 19, 24, 26, 30, 35]"
A38F21,1,E,Positions.EAST,1,"[{'player_id': '6dc424c4', 'player_name': 'S', 'card': '4', 'position': 'Positions.SOUTH'}]",1,♣,♥,"{'team1': 0, 'team2': 0}","[1, 5, 14, 21, 22, 23, 31, 34, 37, 38]","[1, 5]"
A38F21,1,N,Positions.NORTH,8,"[{'player_id': '6dc424c4', 'player_name': 'S', 'card': '4', 'position': 'Positions.SOUTH'}, {'player_id': '6613e876', 'player_name': 'E', 'card': '1', 'position': 'Positions.EAST'}]",2,♣,♥,"{'team1': 0, 'team2': 0}","[8, 11, 12, 15, 18, 25, 27, 28, 33, 39]",[8]
A38F21,2,S,Positions.SOUTH,30,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '36', 'position': 'Positions.WEST'}, {'player_id': '6dc424c4', 'player_name': 'S', 'card': '30', 'position': 'Positions.SOUTH'}]",1,♠,♥,"{'team1': 0, 'team2': 21}","[2, 3, 10, 17, 19, 24, 26, 35]",[35]
A38F21,2,E,Positions.EAST,31,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '36', 'position': 'Positions.WEST'}, {'player_id': '6dc424c4', 'player_name': 'S', 'card': '30', 'position': 'Positions.SOUTH'}]",2,♠,♥,"{'team1': 0, 'team2': 21}","[5, 14, 21, 22, 23, 31, 34, 37, 38]","[31, 34, 37, 38]"
A38F21,3,W,Positions.WEST,7,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '7', 'position': 'Positions.WEST'}]",0,♣,♥,"{'team1': 0, 'team2': 24}","[0, 6, 13, 16, 20, 29, 32]","[0, 6, 13, 16, 20, 29, 32]"
A38F21,3,S,Positions.SOUTH,2,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '7', 'position': 'Positions.WEST'}]",1,♣,♥,"{'team1': 0, 'team2': 24}","[2, 3, 10, 17, 19, 24, 26, 35]","[2, 3]"
A38F21,4,W,Positions.WEST,32,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '32', 'position': 'Positions.WEST'}]",0,♠,♥,"{'team1': 0, 'team2': 30}","[0, 6, 13, 16, 20, 29]","[0, 6, 13, 16, 20, 29]"
A38F21,4,S,Positions.SOUTH,35,"[{'player_id': '143899d5', 'player_name': 'W', 'card': '32', 'position': 'Positions.WEST'}]",1,♠,♥,"{'team1': 0, 'team2': 30}","[3, 10, 17, 19, 24, 26, 35]",[35]
A38F21,5,N,Positions.NORTH,15,"[{'player_id': 'f53b84f7', 'player_name': 'N', 'card': '15', 'position': 'Positions.NORTH'}]",0,♦,♥,"{'team1': 13, 'team2': 30}","[12, 18, 25, 27, 28]","[12, 18, 25, 27, 28]"
