game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played,round_actions
1,INPROC_E252E6,1,23,team2,0,0,0,23,4,?:Positions.SOUTH:9 | ?:Positions.EAST:8 | ?:Positions.NORTH:4 | ?:Positions.WEST:35,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 9, 11, 19, 21, 25, 27, 39], ""legal_moves"": [1, 3, 5, 9, 11, 19, 21, 25, 27, 39]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""9""], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [0, 2, 8, 12, 16, 17, 20, 26, 32, 37], ""legal_moves"": [0, 2, 8]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""9"", ""8""], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [4, 6, 7, 10, 13, 18, 23, 24, 28, 36], ""legal_moves"": [4, 6, 7]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""9"", ""8"", ""4""], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [14, 15, 22, 29, 30, 31, 33, 34, 35, 38], ""legal_moves"": [14, 15, 22, 29, 30, 31, 33, 34, 35, 38]}]"
1,INPROC_E252E6,2,11,team2,0,23,0,34,4,?:Positions.WEST:29 | ?:Positions.SOUTH:21 | ?:Positions.EAST:20 | ?:Positions.NORTH:24,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [14, 15, 22, 29, 30, 31, 33, 34, 38], ""legal_moves"": [14, 15, 22, 29, 30, 31, 33, 34, 38]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""29""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 11, 19, 21, 25, 27, 39], ""legal_moves"": [21, 25, 27]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""29"", ""21""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [0, 2, 12, 16, 17, 20, 26, 32, 37], ""legal_moves"": [20, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""29"", ""21"", ""20""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [6, 7, 10, 13, 18, 23, 24, 28, 36], ""legal_moves"": [23, 24, 28]}]"
1,INPROC_E252E6,3,14,team1,0,34,14,34,4,?:Positions.WEST:33 | ?:Positions.SOUTH:39 | ?:Positions.EAST:32 | ?:Positions.NORTH:36,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [14, 15, 22, 30, 31, 33, 34, 38], ""legal_moves"": [14, 15, 22, 30, 31, 33, 34, 38]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""33""], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 11, 19, 25, 27, 39], ""legal_moves"": [39]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""33"", ""39""], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [0, 2, 12, 16, 17, 26, 32, 37], ""legal_moves"": [32, 37]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""33"", ""39"", ""32""], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [6, 7, 10, 13, 18, 23, 28, 36], ""legal_moves"": [36]}]"
1,INPROC_E252E6,4,27,team1,14,34,41,34,4,?:Positions.SOUTH:19 | ?:Positions.EAST:17 | ?:Positions.NORTH:18 | ?:Positions.WEST:15,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 11, 19, 25, 27], ""legal_moves"": [1, 3, 5, 11, 19, 25, 27]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""19""], ""position_in_trick"": 1, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [0, 2, 12, 16, 17, 26, 37], ""legal_moves"": [12, 16, 17]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""19"", ""17""], ""position_in_trick"": 2, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [6, 7, 10, 13, 18, 23, 28], ""legal_moves"": [10, 13, 18]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""19"", ""17"", ""18""], ""position_in_trick"": 3, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [14, 15, 22, 30, 31, 34, 38], ""legal_moves"": [14, 15]}]"
1,INPROC_E252E6,5,3,team2,41,34,41,37,4,?:Positions.SOUTH:11 | ?:Positions.EAST:16 | ?:Positions.NORTH:13 | ?:Positions.WEST:14,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 11, 25, 27], ""legal_moves"": [1, 3, 5, 11, 25, 27]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""11""], ""position_in_trick"": 1, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [0, 2, 12, 16, 26, 37], ""legal_moves"": [12, 16]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""11"", ""16""], ""position_in_trick"": 2, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [6, 7, 10, 13, 23, 28], ""legal_moves"": [10, 13]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""11"", ""16"", ""13""], ""position_in_trick"": 3, ""lead_suit"": ""♦"", ""trump"": ""♠"", ""hand_before"": [14, 22, 30, 31, 34, 38], ""legal_moves"": [14]}]"
1,INPROC_E252E6,6,13,team2,41,37,41,50,4,?:Positions.EAST:2 | ?:Positions.NORTH:6 | ?:Positions.WEST:38 | ?:Positions.SOUTH:1,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [0, 2, 12, 26, 37], ""legal_moves"": [0, 2, 12, 26, 37]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""2""], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [6, 7, 10, 23, 28], ""legal_moves"": [6, 7]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""2"", ""6""], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [22, 30, 31, 34, 38], ""legal_moves"": [22, 30, 31, 34, 38]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""2"", ""6"", ""38""], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♠"", ""hand_before"": [1, 3, 5, 25, 27], ""legal_moves"": [1, 3, 5]}]"
1,INPROC_E252E6,7,4,team2,41,50,41,54,4,?:Positions.WEST:34 | ?:Positions.SOUTH:3 | ?:Positions.EAST:37 | ?:Positions.NORTH:10,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [22, 30, 31, 34], ""legal_moves"": [22, 30, 31, 34]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""34""], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [3, 5, 25, 27], ""legal_moves"": [3, 5, 25, 27]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""34"", ""3""], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [0, 12, 26, 37], ""legal_moves"": [37]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""34"", ""3"", ""37""], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [7, 10, 23, 28], ""legal_moves"": [7, 10, 23, 28]}]"
1,INPROC_E252E6,8,7,team1,41,54,48,54,4,?:Positions.EAST:26 | ?:Positions.NORTH:23 | ?:Positions.WEST:22 | ?:Positions.SOUTH:27,"[{""position"": ""Positions.EAST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [0, 12, 26], ""legal_moves"": [0, 12, 26]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""26""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [7, 23, 28], ""legal_moves"": [23, 28]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""26"", ""23""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [22, 30, 31], ""legal_moves"": [22]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""26"", ""23"", ""22""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [5, 25, 27], ""legal_moves"": [25, 27]}]"
1,INPROC_E252E6,9,12,team2,48,54,48,66,4,?:Positions.SOUTH:25 | ?:Positions.EAST:0 | ?:Positions.NORTH:28 | ?:Positions.WEST:30,"[{""position"": ""Positions.SOUTH"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [5, 25], ""legal_moves"": [5, 25]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""25""], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [0, 12], ""legal_moves"": [0, 12]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""25"", ""0""], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [7, 28], ""legal_moves"": [28]}, {""position"": ""Positions.WEST"", ""cards_in_trick"": [""25"", ""0"", ""28""], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♠"", ""hand_before"": [30, 31], ""legal_moves"": [30, 31]}]"
1,INPROC_E252E6,10,6,team2,48,66,48,72,4,?:Positions.WEST:31 | ?:Positions.SOUTH:5 | ?:Positions.EAST:12 | ?:Positions.NORTH:7,"[{""position"": ""Positions.WEST"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♠"", ""hand_before"": [31], ""legal_moves"": [31]}, {""position"": ""Positions.SOUTH"", ""cards_in_trick"": [""31""], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [5], ""legal_moves"": [5]}, {""position"": ""Positions.EAST"", ""cards_in_trick"": [""31"", ""5""], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [12], ""legal_moves"": [12]}, {""position"": ""Positions.NORTH"", ""cards_in_trick"": [""31"", ""5"", ""12""], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♠"", ""hand_before"": [7], ""legal_moves"": [7]}]"
