game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_F48A53,1,10,team2,Team 2 (E/W),56,64,2,♣,finished,2026-05-13T14:40:57.680604+00:00
2,INPROC_581AD7,1,10,team2,Team 2 (E/W),54,66,14,♦,finished,2026-05-13T14:40:57.702025+00:00
3,INPROC_933EB5,1,10,team1,Team 1 (N/S),70,50,36,♠,finished,2026-05-13T14:40:57.722618+00:00
4,INPROC_2F0CD6,1,10,team1,Team 1 (N/S),70,50,10,♦,finished,2026-05-13T14:40:57.741979+00:00
5,INPROC_696A24,1,10,team1,Team 1 (N/S),64,56,15,♦,finished,2026-05-13T14:40:57.761368+00:00
6,INPROC_ECDA4D,1,10,team2,Team 2 (E/W),54,66,6,♣,finished,2026-05-13T14:40:57.780824+00:00
7,INPROC_6971DC,1,10,team2,Team 2 (E/W),56,64,38,♠,finished,2026-05-13T14:40:57.803385+00:00
8,INPROC_BC2F47,1,10,team1,Team 1 (N/S),92,28,16,♦,finished,2026-05-13T14:40:57.823234+00:00
9,INPROC_9785EF,1,10,draw,draw,60,60,32,♠,finished,2026-05-13T14:40:57.844655+00:00
10,INPROC_5951B2,1,10,team2,Team 2 (E/W),50,70,11,♦,finished,2026-05-13T14:40:57.867096+00:00
11,INPROC_84E200,1,10,team1,Team 1 (N/S),71,49,16,♦,finished,2026-05-13T14:40:57.886228+00:00
12,INPROC_86219A,1,10,team1,Team 1 (N/S),71,49,12,♦,finished,2026-05-13T14:40:57.904722+00:00
13,INPROC_F2D904,1,10,team1,Team 1 (N/S),66,54,30,♠,finished,2026-05-13T14:40:57.923802+00:00
14,INPROC_DF85AE,1,10,team1,Team 1 (N/S),70,50,38,♠,finished,2026-05-13T14:40:57.950124+00:00
15,INPROC_17E31B,1,10,team1,Team 1 (N/S),83,37,39,♠,finished,2026-05-13T14:40:57.976806+00:00
16,INPROC_6598E9,1,10,team1,Team 1 (N/S),78,42,13,♦,finished,2026-05-13T14:40:57.995218+00:00
17,INPROC_40E351,1,10,team1,Team 1 (N/S),107,13,11,♦,finished,2026-05-13T14:40:58.013798+00:00
18,INPROC_3DA51A,1,10,team2,Team 2 (E/W),23,97,31,♠,finished,2026-05-13T14:40:58.032608+00:00
