game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_B89CB3,1,10,draw,draw,60,60,39,♠,finished,2026-05-17T19:25:57.743224+00:00
2,INPROC_3D1F68,1,10,team2,Team 2 (E/W),13,107,11,♦,finished,2026-05-17T19:25:57.756226+00:00
3,INPROC_0568E3,1,10,team2,Team 2 (E/W),35,85,29,♥,finished,2026-05-17T19:25:57.773034+00:00
4,INPROC_8FAE5C,1,10,team2,Team 2 (E/W),28,92,9,♣,finished,2026-05-17T19:25:57.788950+00:00
5,INPROC_C1096C,1,10,team2,Team 2 (E/W),43,77,26,♥,finished,2026-05-17T19:25:57.806091+00:00
6,INPROC_4F2A5D,1,10,team1,Team 1 (N/S),74,46,35,♠,finished,2026-05-17T19:25:57.821408+00:00
7,INPROC_471842,1,10,team1,Team 1 (N/S),66,54,4,♣,finished,2026-05-17T19:25:57.839450+00:00
8,INPROC_829D04,1,10,team1,Team 1 (N/S),75,45,15,♦,finished,2026-05-17T19:25:57.858862+00:00
9,INPROC_99B626,1,10,team2,Team 2 (E/W),57,63,3,♣,finished,2026-05-17T19:25:57.878220+00:00
10,INPROC_17C693,1,10,team1,Team 1 (N/S),75,45,8,♣,finished,2026-05-17T19:25:57.893510+00:00
11,INPROC_EC70C6,1,10,team1,Team 1 (N/S),71,49,11,♦,finished,2026-05-17T19:25:57.913173+00:00
12,INPROC_8EC51A,1,10,draw,draw,60,60,13,♦,finished,2026-05-17T19:25:57.929705+00:00
13,INPROC_65707E,1,10,team2,Team 2 (E/W),0,120,10,♦,finished,2026-05-17T19:25:57.945822+00:00
14,INPROC_B6B142,1,10,team1,Team 1 (N/S),76,44,10,♦,finished,2026-05-17T19:25:57.963680+00:00
15,INPROC_D04761,1,10,team1,Team 1 (N/S),81,39,3,♣,finished,2026-05-17T19:25:57.980470+00:00
16,INPROC_D8D252,1,10,team2,Team 2 (E/W),48,72,38,♠,finished,2026-05-17T19:25:57.996744+00:00
17,INPROC_8235A1,1,10,team2,Team 2 (E/W),53,67,26,♥,finished,2026-05-17T19:25:58.013904+00:00
