game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_41BA8A,1,10,team1,Team 1 (N/S),72,48,2,♣,finished,2026-05-17T16:45:43.230370+00:00
2,INPROC_6457AE,1,10,team1,Team 1 (N/S),62,58,7,♣,finished,2026-05-17T16:45:43.245601+00:00
3,INPROC_609DB5,1,10,team2,Team 2 (E/W),38,82,25,♥,finished,2026-05-17T16:45:43.262479+00:00
4,INPROC_09DCA6,1,10,draw,draw,60,60,36,♠,finished,2026-05-17T16:45:43.276465+00:00
5,INPROC_C2B240,1,10,team1,Team 1 (N/S),67,53,1,♣,finished,2026-05-17T16:45:43.290409+00:00
6,INPROC_40E8B2,1,10,team2,Team 2 (E/W),17,103,11,♦,finished,2026-05-17T16:45:43.305047+00:00
7,INPROC_46F79C,1,10,team1,Team 1 (N/S),75,45,15,♦,finished,2026-05-17T16:45:43.321562+00:00
8,INPROC_2E82D4,1,10,team1,Team 1 (N/S),67,53,25,♥,finished,2026-05-17T16:45:43.338376+00:00
9,INPROC_DBAD61,1,10,team2,Team 2 (E/W),23,97,8,♣,finished,2026-05-17T16:45:43.356334+00:00
10,INPROC_6F271A,1,10,team2,Team 2 (E/W),33,87,2,♣,finished,2026-05-17T16:45:43.373773+00:00
11,INPROC_915D14,1,10,team2,Team 2 (E/W),49,71,5,♣,finished,2026-05-17T16:45:43.394149+00:00
12,INPROC_CAC477,1,10,team2,Team 2 (E/W),56,64,24,♥,finished,2026-05-17T16:45:43.406963+00:00
13,INPROC_71963D,1,10,team1,Team 1 (N/S),95,25,17,♦,finished,2026-05-17T16:45:43.419194+00:00
14,INPROC_5F5A7E,1,10,team2,Team 2 (E/W),50,70,20,♥,finished,2026-05-17T16:45:43.434869+00:00
15,INPROC_B937A3,1,10,team1,Team 1 (N/S),86,34,24,♥,finished,2026-05-17T16:45:43.450317+00:00
16,INPROC_B3D5B7,1,10,team1,Team 1 (N/S),77,43,21,♥,finished,2026-05-17T16:45:43.465009+00:00
17,INPROC_B226F8,1,10,team1,Team 1 (N/S),104,16,10,♦,finished,2026-05-17T16:45:43.481059+00:00
18,INPROC_1D024D,1,10,team1,Team 1 (N/S),85,35,31,♠,finished,2026-05-17T16:45:43.496971+00:00
19,INPROC_550C75,1,10,team1,Team 1 (N/S),67,53,37,♠,finished,2026-05-17T16:45:43.514676+00:00
20,INPROC_6BED28,1,10,team2,Team 2 (E/W),58,62,19,♦,finished,2026-05-17T16:45:43.530736+00:00
21,INPROC_474502,1,10,team1,Team 1 (N/S),69,51,3,♣,finished,2026-05-17T16:45:43.548451+00:00
