game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_91C1C2,1,10,team2,Team 2 (E/W),43,77,33,♠,finished,2026-05-17T16:35:47.154598+00:00
2,INPROC_B19B3A,1,10,team1,Team 1 (N/S),75,45,16,♦,finished,2026-05-17T16:35:47.171254+00:00
3,INPROC_C92FE8,1,10,team2,Team 2 (E/W),37,83,6,♣,finished,2026-05-17T16:35:47.187347+00:00
4,INPROC_B8A4C9,1,10,team2,Team 2 (E/W),30,90,16,♦,finished,2026-05-17T16:35:47.202365+00:00
5,INPROC_A409D4,1,10,team1,Team 1 (N/S),81,39,14,♦,finished,2026-05-17T16:35:47.217726+00:00
6,INPROC_9D1021,1,10,team1,Team 1 (N/S),80,40,6,♣,finished,2026-05-17T16:35:47.232789+00:00
7,INPROC_051FAB,1,10,team1,Team 1 (N/S),91,29,33,♠,finished,2026-05-17T16:35:47.247892+00:00
8,INPROC_8431B2,1,10,team1,Team 1 (N/S),75,45,2,♣,finished,2026-05-17T16:35:47.263772+00:00
9,INPROC_2BEFCA,1,10,team1,Team 1 (N/S),74,46,27,♥,finished,2026-05-17T16:35:47.279540+00:00
10,INPROC_DCEB36,1,10,team1,Team 1 (N/S),83,37,34,♠,finished,2026-05-17T16:35:47.295277+00:00
11,INPROC_F4F5DB,1,10,team1,Team 1 (N/S),70,50,25,♥,finished,2026-05-17T16:35:47.311680+00:00
12,INPROC_FA4497,1,10,team1,Team 1 (N/S),90,30,13,♦,finished,2026-05-17T16:35:47.327348+00:00
13,INPROC_0E7FFF,1,10,team2,Team 2 (E/W),35,85,33,♠,finished,2026-05-17T16:35:47.343311+00:00
14,INPROC_533D9C,1,10,team1,Team 1 (N/S),110,10,7,♣,finished,2026-05-17T16:35:47.360510+00:00
15,INPROC_EBEA71,1,10,team1,Team 1 (N/S),86,34,39,♠,finished,2026-05-17T16:35:47.377261+00:00
16,INPROC_D015E1,1,10,team1,Team 1 (N/S),96,24,26,♥,finished,2026-05-17T16:35:47.394124+00:00
17,INPROC_E290DF,1,10,team2,Team 2 (E/W),21,99,8,♣,finished,2026-05-17T16:35:47.411361+00:00
18,INPROC_C176A9,1,10,team1,Team 1 (N/S),99,21,18,♦,finished,2026-05-17T16:35:47.428186+00:00
19,INPROC_6DB1BD,1,10,team2,Team 2 (E/W),25,95,13,♦,finished,2026-05-17T16:35:47.442363+00:00
20,INPROC_67B2FC,1,10,draw,draw,60,60,23,♥,finished,2026-05-17T16:35:47.457054+00:00
21,INPROC_F8648C,1,10,team2,Team 2 (E/W),28,92,2,♣,finished,2026-05-17T16:35:47.474811+00:00
22,INPROC_5C6EEE,1,10,team1,Team 1 (N/S),69,51,0,♣,finished,2026-05-17T16:35:47.491891+00:00
23,INPROC_8FC428,1,10,team2,Team 2 (E/W),9,111,23,♥,finished,2026-05-17T16:35:47.506039+00:00
24,INPROC_DF24EA,1,10,team1,Team 1 (N/S),76,44,16,♦,finished,2026-05-17T16:35:47.521542+00:00
25,INPROC_B6468F,1,10,team2,Team 2 (E/W),23,97,30,♠,finished,2026-05-17T16:35:47.536443+00:00
26,INPROC_4FDAEA,1,10,team1,Team 1 (N/S),64,56,18,♦,finished,2026-05-17T16:35:47.550252+00:00
27,INPROC_550F65,1,10,team1,Team 1 (N/S),76,44,1,♣,finished,2026-05-17T16:35:47.566023+00:00
28,INPROC_BDB09C,1,10,team2,Team 2 (E/W),53,67,32,♠,finished,2026-05-17T16:35:47.582561+00:00
29,INPROC_0560A5,1,10,team2,Team 2 (E/W),52,68,7,♣,finished,2026-05-17T16:35:47.601206+00:00
30,INPROC_0DE07A,1,10,team2,Team 2 (E/W),49,71,4,♣,finished,2026-05-17T16:35:47.617137+00:00
31,INPROC_9DC24E,1,10,team1,Team 1 (N/S),73,47,17,♦,finished,2026-05-17T16:35:47.631591+00:00
32,INPROC_AEEE3E,1,10,team2,Team 2 (E/W),36,84,30,♠,finished,2026-05-17T16:35:47.648249+00:00
33,INPROC_AF8EA1,1,10,team1,Team 1 (N/S),73,47,15,♦,finished,2026-05-17T16:35:47.665160+00:00
34,INPROC_DD1C99,1,10,team1,Team 1 (N/S),62,58,25,♥,finished,2026-05-17T16:35:47.679525+00:00
35,INPROC_BC95A1,1,10,team2,Team 2 (E/W),36,84,18,♦,finished,2026-05-17T16:35:47.695703+00:00
36,INPROC_1B7155,1,10,team2,Team 2 (E/W),46,74,12,♦,finished,2026-05-17T16:35:47.712062+00:00
37,INPROC_0D58C5,1,10,team1,Team 1 (N/S),79,41,30,♠,finished,2026-05-17T16:35:47.727421+00:00
38,INPROC_8694DE,1,10,team1,Team 1 (N/S),69,51,10,♦,finished,2026-05-17T16:35:47.742769+00:00
39,INPROC_FE27FF,1,10,team2,Team 2 (E/W),42,78,8,♣,finished,2026-05-17T16:35:47.760522+00:00
40,INPROC_5832BB,1,10,team2,Team 2 (E/W),49,71,1,♣,finished,2026-05-17T16:35:47.775043+00:00
41,INPROC_1759D3,1,10,draw,draw,60,60,29,♥,finished,2026-05-17T16:35:47.788908+00:00
42,INPROC_1B2D51,1,10,team2,Team 2 (E/W),11,109,20,♥,finished,2026-05-17T16:35:47.805144+00:00
43,INPROC_4A2201,1,10,team1,Team 1 (N/S),82,38,20,♥,finished,2026-05-17T16:35:47.819828+00:00
44,INPROC_CB446B,1,10,team2,Team 2 (E/W),32,88,20,♥,finished,2026-05-17T16:35:47.832908+00:00
45,INPROC_13206E,1,10,team1,Team 1 (N/S),87,33,5,♣,finished,2026-05-17T16:35:47.850187+00:00
46,INPROC_245CF9,1,10,team1,Team 1 (N/S),80,40,19,♦,finished,2026-05-17T16:35:47.866034+00:00
47,INPROC_94400C,1,10,team1,Team 1 (N/S),68,52,2,♣,finished,2026-05-17T16:35:47.880653+00:00
48,INPROC_242715,1,10,team2,Team 2 (E/W),52,68,27,♥,finished,2026-05-17T16:35:47.896197+00:00
49,INPROC_E96897,1,10,team1,Team 1 (N/S),83,37,14,♦,finished,2026-05-17T16:35:47.911770+00:00
50,INPROC_C06789,1,10,team1,Team 1 (N/S),73,47,16,♦,finished,2026-05-17T16:35:47.927810+00:00
51,INPROC_9425B4,1,10,team2,Team 2 (E/W),0,120,21,♥,finished,2026-05-17T16:35:47.942925+00:00
52,INPROC_74E209,1,10,team2,Team 2 (E/W),55,65,16,♦,finished,2026-05-17T16:35:47.958563+00:00
53,INPROC_ED6D93,1,10,team1,Team 1 (N/S),75,45,39,♠,finished,2026-05-17T16:35:47.973989+00:00
54,INPROC_88BF2E,1,10,team1,Team 1 (N/S),69,51,20,♥,finished,2026-05-17T16:35:47.988915+00:00
55,INPROC_8B6AFE,1,10,team2,Team 2 (E/W),37,83,21,♥,finished,2026-05-17T16:35:48.003568+00:00
56,INPROC_C89DF1,1,10,team1,Team 1 (N/S),88,32,38,♠,finished,2026-05-17T16:35:48.017428+00:00
57,INPROC_9B83D0,1,10,team2,Team 2 (E/W),58,62,28,♥,finished,2026-05-17T16:35:48.032987+00:00
58,INPROC_0F580F,1,10,team1,Team 1 (N/S),101,19,3,♣,finished,2026-05-17T16:35:48.048352+00:00
59,INPROC_207E31,1,10,team2,Team 2 (E/W),59,61,11,♦,finished,2026-05-17T16:35:48.065879+00:00
60,INPROC_F2ED5B,1,10,team1,Team 1 (N/S),89,31,32,♠,finished,2026-05-17T16:35:48.081600+00:00
61,INPROC_B4A677,1,10,team1,Team 1 (N/S),77,43,38,♠,finished,2026-05-17T16:35:48.096141+00:00
62,INPROC_214207,1,10,team1,Team 1 (N/S),87,33,13,♦,finished,2026-05-17T16:35:48.109944+00:00
63,INPROC_9AE684,1,10,team2,Team 2 (E/W),56,64,4,♣,finished,2026-05-17T16:35:48.125238+00:00
64,INPROC_DE70B2,1,10,team2,Team 2 (E/W),28,92,23,♥,finished,2026-05-17T16:35:48.140784+00:00
65,INPROC_DF65CA,1,10,team2,Team 2 (E/W),45,75,13,♦,finished,2026-05-17T16:35:48.158090+00:00
66,INPROC_A138AF,1,10,team2,Team 2 (E/W),38,82,37,♠,finished,2026-05-17T16:35:48.176989+00:00
67,INPROC_384389,1,10,team1,Team 1 (N/S),76,44,11,♦,finished,2026-05-17T16:35:48.197467+00:00
68,INPROC_FCEA26,1,10,team1,Team 1 (N/S),83,37,16,♦,finished,2026-05-17T16:35:48.214668+00:00
69,INPROC_612DAB,1,10,team1,Team 1 (N/S),64,56,20,♥,finished,2026-05-17T16:35:48.231890+00:00
70,INPROC_7BC09B,1,10,team1,Team 1 (N/S),73,47,38,♠,finished,2026-05-17T16:35:48.248807+00:00
71,INPROC_4819D9,1,10,team2,Team 2 (E/W),57,63,2,♣,finished,2026-05-17T16:35:48.266388+00:00
72,INPROC_FAE07F,1,10,team2,Team 2 (E/W),51,69,8,♣,finished,2026-05-17T16:35:48.283491+00:00
73,INPROC_95A767,1,10,team2,Team 2 (E/W),47,73,22,♥,finished,2026-05-17T16:35:48.299440+00:00
74,INPROC_7D41C2,1,10,team1,Team 1 (N/S),101,19,30,♠,finished,2026-05-17T16:35:48.314270+00:00
75,INPROC_41B6F3,1,10,team2,Team 2 (E/W),39,81,24,♥,finished,2026-05-17T16:35:48.331398+00:00
76,INPROC_82A182,1,10,team1,Team 1 (N/S),66,54,25,♥,finished,2026-05-17T16:35:48.348181+00:00
77,INPROC_BB6B95,1,10,team2,Team 2 (E/W),49,71,32,♠,finished,2026-05-17T16:35:48.363586+00:00
78,INPROC_C31EE6,1,10,team2,Team 2 (E/W),50,70,38,♠,finished,2026-05-17T16:35:48.378291+00:00
79,INPROC_937B26,1,10,team1,Team 1 (N/S),66,54,39,♠,finished,2026-05-17T16:35:48.393362+00:00
80,INPROC_864A8E,1,10,team1,Team 1 (N/S),90,30,38,♠,finished,2026-05-17T16:35:48.409325+00:00
81,INPROC_E8992E,1,10,team2,Team 2 (E/W),59,61,15,♦,finished,2026-05-17T16:35:48.425450+00:00
82,INPROC_C3A161,1,10,team2,Team 2 (E/W),43,77,15,♦,finished,2026-05-17T16:35:48.442771+00:00
83,INPROC_DC7DEE,1,10,team2,Team 2 (E/W),57,63,6,♣,finished,2026-05-17T16:35:48.459030+00:00
84,INPROC_024878,1,10,team2,Team 2 (E/W),15,105,28,♥,finished,2026-05-17T16:35:48.474431+00:00
85,INPROC_E192A8,1,10,team2,Team 2 (E/W),25,95,37,♠,finished,2026-05-17T16:35:48.493119+00:00
86,INPROC_E0542E,1,10,team2,Team 2 (E/W),42,78,36,♠,finished,2026-05-17T16:35:48.511485+00:00
87,INPROC_FA4D56,1,10,team1,Team 1 (N/S),63,57,27,♥,finished,2026-05-17T16:35:48.523755+00:00
