game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_816BFE,1,10,team2,Team 2 (E/W),17,103,5,♣,finished,2026-05-17T19:12:02.916171+00:00
2,INPROC_EC4E93,1,10,team1,Team 1 (N/S),63,57,3,♣,finished,2026-05-17T19:12:02.931908+00:00
3,INPROC_147F8C,1,10,team2,Team 2 (E/W),43,77,16,♦,finished,2026-05-17T19:12:02.949781+00:00
4,INPROC_E3A6E8,1,10,team2,Team 2 (E/W),20,100,21,♥,finished,2026-05-17T19:12:02.965287+00:00
5,INPROC_0625AB,1,10,team2,Team 2 (E/W),42,78,18,♦,finished,2026-05-17T19:12:02.981949+00:00
6,INPROC_DE004C,1,10,team2,Team 2 (E/W),46,74,0,♣,finished,2026-05-17T19:12:02.997391+00:00
7,INPROC_880115,1,10,team1,Team 1 (N/S),66,54,1,♣,finished,2026-05-17T19:12:03.014488+00:00
8,INPROC_C5E552,1,10,team1,Team 1 (N/S),69,51,22,♥,finished,2026-05-17T19:12:03.030721+00:00
9,INPROC_A8F293,1,10,team1,Team 1 (N/S),102,18,33,♠,finished,2026-05-17T19:12:03.050254+00:00
10,INPROC_3EC27A,1,10,team1,Team 1 (N/S),71,49,16,♦,finished,2026-05-17T19:12:03.069928+00:00
11,INPROC_F87753,1,10,team2,Team 2 (E/W),32,88,26,♥,finished,2026-05-17T19:12:03.085825+00:00
12,INPROC_F47E85,1,10,team1,Team 1 (N/S),83,37,13,♦,finished,2026-05-17T19:12:03.109785+00:00
13,INPROC_0995EA,1,10,team1,Team 1 (N/S),77,43,5,♣,finished,2026-05-17T19:12:03.129251+00:00
14,INPROC_22DD9D,1,10,team2,Team 2 (E/W),10,110,34,♠,finished,2026-05-17T19:12:03.144221+00:00
15,INPROC_21535D,1,10,team1,Team 1 (N/S),68,52,25,♥,finished,2026-05-17T19:12:03.163748+00:00
16,INPROC_4E4DCE,1,10,team2,Team 2 (E/W),41,79,5,♣,finished,2026-05-17T19:12:03.183186+00:00
17,INPROC_13597C,1,10,team1,Team 1 (N/S),91,29,25,♥,finished,2026-05-17T19:12:03.202140+00:00
