game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_9E1367,1,10,team2,Team 2 (E/W),57,63,9,♣,finished,2026-05-17T16:40:50.629256+00:00
2,INPROC_465C60,1,10,team1,Team 1 (N/S),79,41,8,♣,finished,2026-05-17T16:40:50.645031+00:00
3,INPROC_5E5993,1,10,team2,Team 2 (E/W),44,76,9,♣,finished,2026-05-17T16:40:50.662308+00:00
4,INPROC_4AF7D8,1,10,team1,Team 1 (N/S),88,32,5,♣,finished,2026-05-17T16:40:50.676604+00:00
5,INPROC_FE0A30,1,10,team1,Team 1 (N/S),61,59,39,♠,finished,2026-05-17T16:40:50.691414+00:00
6,INPROC_815A93,1,10,team2,Team 2 (E/W),30,90,29,♥,finished,2026-05-17T16:40:50.707634+00:00
7,INPROC_AAE3CE,1,10,draw,draw,60,60,16,♦,finished,2026-05-17T16:40:50.725138+00:00
8,INPROC_1B65EA,1,10,team2,Team 2 (E/W),39,81,4,♣,finished,2026-05-17T16:40:50.741556+00:00
9,INPROC_DBEFE0,1,10,team1,Team 1 (N/S),92,28,8,♣,finished,2026-05-17T16:40:50.759091+00:00
10,INPROC_FC6C99,1,10,team1,Team 1 (N/S),81,39,34,♠,finished,2026-05-17T16:40:50.776027+00:00
11,INPROC_13D612,1,10,team2,Team 2 (E/W),57,63,13,♦,finished,2026-05-17T16:40:50.795647+00:00
12,INPROC_F8ACB6,1,10,team2,Team 2 (E/W),52,68,29,♥,finished,2026-05-17T16:40:50.813150+00:00
13,INPROC_0AAEB3,1,10,team2,Team 2 (E/W),49,71,13,♦,finished,2026-05-17T16:40:50.829098+00:00
14,INPROC_2B916E,1,10,team1,Team 1 (N/S),97,23,15,♦,finished,2026-05-17T16:40:50.847178+00:00
15,INPROC_C50034,1,10,team1,Team 1 (N/S),63,57,34,♠,finished,2026-05-17T16:40:50.863423+00:00
16,INPROC_D2D6DC,1,10,team2,Team 2 (E/W),39,81,6,♣,finished,2026-05-17T16:40:50.879576+00:00
17,INPROC_CF4B6B,1,10,team1,Team 1 (N/S),81,39,16,♦,finished,2026-05-17T16:40:50.896208+00:00
18,INPROC_FEFE8D,1,10,team2,Team 2 (E/W),44,76,15,♦,finished,2026-05-17T16:40:50.913128+00:00
19,INPROC_4E312B,1,10,team2,Team 2 (E/W),55,65,34,♠,finished,2026-05-17T16:40:50.928764+00:00
20,INPROC_334E92,1,10,team1,Team 1 (N/S),70,50,6,♣,finished,2026-05-17T16:40:50.946102+00:00
21,INPROC_4C1B63,1,10,team1,Team 1 (N/S),72,48,26,♥,finished,2026-05-17T16:40:50.963851+00:00
22,INPROC_DBF411,1,10,draw,draw,60,60,32,♠,finished,2026-05-17T16:40:50.981400+00:00
23,INPROC_19BF5D,1,10,team1,Team 1 (N/S),70,50,14,♦,finished,2026-05-17T16:40:50.995405+00:00
24,INPROC_82AFD5,1,10,team1,Team 1 (N/S),77,43,3,♣,finished,2026-05-17T16:40:51.011170+00:00
25,INPROC_D4FD5E,1,10,draw,draw,60,60,11,♦,finished,2026-05-17T16:40:51.026940+00:00
26,INPROC_490F0A,1,10,team1,Team 1 (N/S),80,40,19,♦,finished,2026-05-17T16:40:51.042308+00:00
27,INPROC_6F5631,1,10,team2,Team 2 (E/W),31,89,29,♥,finished,2026-05-17T16:40:51.059239+00:00
28,INPROC_FD5FE6,1,10,team2,Team 2 (E/W),49,71,11,♦,finished,2026-05-17T16:40:51.075136+00:00
29,INPROC_EAED6A,1,10,team1,Team 1 (N/S),72,48,36,♠,finished,2026-05-17T16:40:51.092525+00:00
30,INPROC_9F0016,1,10,team2,Team 2 (E/W),33,87,12,♦,finished,2026-05-17T16:40:51.109290+00:00
31,INPROC_C53B29,1,10,team1,Team 1 (N/S),65,55,28,♥,finished,2026-05-17T16:40:51.125201+00:00
32,INPROC_75E79E,1,10,team1,Team 1 (N/S),70,50,24,♥,finished,2026-05-17T16:40:51.140037+00:00
33,INPROC_F71854,1,10,team1,Team 1 (N/S),64,56,23,♥,finished,2026-05-17T16:40:51.156262+00:00
34,INPROC_0510A6,1,10,team2,Team 2 (E/W),51,69,0,♣,finished,2026-05-17T16:40:51.171468+00:00
35,INPROC_FD3934,1,10,team1,Team 1 (N/S),69,51,28,♥,finished,2026-05-17T16:40:51.188663+00:00
36,INPROC_E646EA,1,10,team1,Team 1 (N/S),71,49,31,♠,finished,2026-05-17T16:40:51.203901+00:00
37,INPROC_D5990C,1,10,team1,Team 1 (N/S),81,39,31,♠,finished,2026-05-17T16:40:51.221360+00:00
38,INPROC_86D978,1,10,team2,Team 2 (E/W),14,106,15,♦,finished,2026-05-17T16:40:51.235050+00:00
39,INPROC_021BB5,1,10,team2,Team 2 (E/W),42,78,23,♥,finished,2026-05-17T16:40:51.250836+00:00
40,INPROC_8D1153,1,10,team2,Team 2 (E/W),52,68,26,♥,finished,2026-05-17T16:40:51.263403+00:00
41,INPROC_327039,1,10,team2,Team 2 (E/W),54,66,17,♦,finished,2026-05-17T16:40:51.277299+00:00
42,INPROC_54F3A3,1,10,team1,Team 1 (N/S),108,12,15,♦,finished,2026-05-17T16:40:51.293951+00:00
