game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_F5D9D5,1,10,team1,Team 1 (N/S),82,38,11,♦,finished,2026-05-18T17:07:23.972868+00:00
2,INPROC_0C8BE7,1,10,team2,Team 2 (E/W),39,81,20,♥,finished,2026-05-18T17:07:23.991674+00:00
3,INPROC_1A7993,1,10,team1,Team 1 (N/S),75,45,1,♣,finished,2026-05-18T17:07:24.010052+00:00
4,INPROC_15C47F,1,10,team2,Team 2 (E/W),50,70,35,♠,finished,2026-05-18T17:07:24.026252+00:00
5,INPROC_28CDF2,1,10,team2,Team 2 (E/W),42,78,16,♦,finished,2026-05-18T17:07:24.042903+00:00
6,INPROC_F7F183,1,10,team2,Team 2 (E/W),27,93,3,♣,finished,2026-05-18T17:07:24.057750+00:00
7,INPROC_1FA5E4,1,10,team2,Team 2 (E/W),47,73,11,♦,finished,2026-05-18T17:07:24.072168+00:00
8,INPROC_6AF2EC,1,10,team2,Team 2 (E/W),36,84,5,♣,finished,2026-05-18T17:07:24.086417+00:00
9,INPROC_AEFF30,1,10,team1,Team 1 (N/S),79,41,31,♠,finished,2026-05-18T17:07:24.101885+00:00
10,INPROC_FB5B66,1,10,team2,Team 2 (E/W),34,86,19,♦,finished,2026-05-18T17:07:24.118167+00:00
11,INPROC_CD30C1,1,10,team1,Team 1 (N/S),74,46,10,♦,finished,2026-05-18T17:07:24.131722+00:00
12,INPROC_9FD942,1,10,team2,Team 2 (E/W),39,81,23,♥,finished,2026-05-18T17:07:24.145947+00:00
13,INPROC_8EAFB1,1,10,team2,Team 2 (E/W),55,65,6,♣,finished,2026-05-18T17:07:24.161873+00:00
14,INPROC_0032CC,1,10,team2,Team 2 (E/W),20,100,20,♥,finished,2026-05-18T17:07:24.177760+00:00
15,INPROC_E8F57F,1,10,team2,Team 2 (E/W),59,61,37,♠,finished,2026-05-18T17:07:24.191498+00:00
16,INPROC_30B0BD,1,10,team1,Team 1 (N/S),89,31,1,♣,finished,2026-05-18T17:07:24.206744+00:00
17,INPROC_924C19,1,10,team2,Team 2 (E/W),42,78,26,♥,finished,2026-05-18T17:07:24.224140+00:00
18,INPROC_270E97,1,10,team2,Team 2 (E/W),24,96,29,♥,finished,2026-05-18T17:07:24.239527+00:00
19,INPROC_BA8531,1,10,team2,Team 2 (E/W),38,82,0,♣,finished,2026-05-18T17:07:24.256587+00:00
20,INPROC_2DC88E,1,10,team1,Team 1 (N/S),67,53,17,♦,finished,2026-05-18T17:07:24.271398+00:00
21,INPROC_12ABEA,1,10,team1,Team 1 (N/S),71,49,12,♦,finished,2026-05-18T17:07:24.286964+00:00
22,INPROC_60F402,1,10,team2,Team 2 (E/W),49,71,26,♥,finished,2026-05-18T17:07:24.303314+00:00
23,INPROC_1B8E1A,1,10,team2,Team 2 (E/W),56,64,13,♦,finished,2026-05-18T17:07:24.318318+00:00
24,INPROC_44DEC0,1,10,team1,Team 1 (N/S),84,36,34,♠,finished,2026-05-18T17:07:24.336504+00:00
25,INPROC_B74B20,1,10,team1,Team 1 (N/S),64,56,16,♦,finished,2026-05-18T17:07:24.347171+00:00
26,INPROC_88EE31,1,10,team1,Team 1 (N/S),68,52,23,♥,finished,2026-05-18T17:07:24.363649+00:00
27,INPROC_F47D45,1,10,team1,Team 1 (N/S),63,57,36,♠,finished,2026-05-18T17:07:24.378584+00:00
28,INPROC_DC10F2,1,10,team2,Team 2 (E/W),35,85,31,♠,finished,2026-05-18T17:07:24.393593+00:00
29,INPROC_01FA9E,1,10,team2,Team 2 (E/W),48,72,33,♠,finished,2026-05-18T17:07:24.410154+00:00
30,INPROC_E415CB,1,10,team1,Team 1 (N/S),90,30,12,♦,finished,2026-05-18T17:07:24.425243+00:00
31,INPROC_8DAC3E,1,10,team2,Team 2 (E/W),45,75,0,♣,finished,2026-05-18T17:07:24.444308+00:00
32,INPROC_3BC75D,1,10,team2,Team 2 (E/W),41,79,14,♦,finished,2026-05-18T17:07:24.460115+00:00
33,INPROC_A89E0D,1,10,team2,Team 2 (E/W),57,63,3,♣,finished,2026-05-18T17:07:24.475953+00:00
34,INPROC_2967D9,1,10,team1,Team 1 (N/S),69,51,38,♠,finished,2026-05-18T17:07:25.572935+00:00
35,INPROC_BAB04D,1,10,team2,Team 2 (E/W),43,77,33,♠,finished,2026-05-18T17:07:25.592108+00:00
36,INPROC_592D5C,1,10,team2,Team 2 (E/W),25,95,10,♦,finished,2026-05-18T17:07:25.609372+00:00
37,INPROC_4198BF,1,10,team2,Team 2 (E/W),16,104,20,♥,finished,2026-05-18T17:07:25.625541+00:00
38,INPROC_BA7C02,1,10,team2,Team 2 (E/W),54,66,4,♣,finished,2026-05-18T17:07:25.641922+00:00
39,INPROC_65556B,1,10,team2,Team 2 (E/W),48,72,31,♠,finished,2026-05-18T17:07:25.658628+00:00
40,INPROC_EF040B,1,10,team2,Team 2 (E/W),20,100,35,♠,finished,2026-05-18T17:07:25.676596+00:00
41,INPROC_CABA18,1,10,team2,Team 2 (E/W),55,65,16,♦,finished,2026-05-18T17:07:25.692435+00:00
42,INPROC_0B16CC,1,10,team2,Team 2 (E/W),44,76,19,♦,finished,2026-05-18T17:07:25.710200+00:00
43,INPROC_FBE2BF,1,10,team2,Team 2 (E/W),49,71,0,♣,finished,2026-05-18T17:07:25.726391+00:00
44,INPROC_D77432,1,10,team2,Team 2 (E/W),42,78,31,♠,finished,2026-05-18T17:07:25.742433+00:00
45,INPROC_2E6F07,1,10,team2,Team 2 (E/W),53,67,23,♥,finished,2026-05-18T17:07:25.759736+00:00
46,INPROC_8AF991,1,10,team2,Team 2 (E/W),44,76,18,♦,finished,2026-05-18T17:07:25.779727+00:00
47,INPROC_29DC0A,1,10,team1,Team 1 (N/S),64,56,27,♥,finished,2026-05-18T17:07:25.798708+00:00
48,INPROC_F5C374,1,10,team2,Team 2 (E/W),36,84,16,♦,finished,2026-05-18T17:07:25.814771+00:00
49,INPROC_1FA148,1,10,team2,Team 2 (E/W),57,63,37,♠,finished,2026-05-18T17:07:25.830497+00:00
50,INPROC_A32D42,1,10,team2,Team 2 (E/W),45,75,3,♣,finished,2026-05-18T17:07:25.846649+00:00
51,INPROC_DD54F0,1,10,team2,Team 2 (E/W),18,102,15,♦,finished,2026-05-18T17:07:25.867136+00:00
52,INPROC_6C4F5D,1,10,team2,Team 2 (E/W),52,68,29,♥,finished,2026-05-18T17:07:25.886208+00:00
53,INPROC_A4DC60,1,10,team1,Team 1 (N/S),77,43,4,♣,finished,2026-05-18T17:07:25.901698+00:00
54,INPROC_9116B8,1,10,team1,Team 1 (N/S),75,45,20,♥,finished,2026-05-18T17:07:25.919248+00:00
55,INPROC_6233C7,1,10,team1,Team 1 (N/S),63,57,12,♦,finished,2026-05-18T17:07:25.933389+00:00
56,INPROC_1C1FB2,1,10,team2,Team 2 (E/W),37,83,17,♦,finished,2026-05-18T17:07:25.947799+00:00
57,INPROC_FDFCA8,1,10,team2,Team 2 (E/W),26,94,21,♥,finished,2026-05-18T17:07:25.963525+00:00
58,INPROC_3C3E11,1,10,team2,Team 2 (E/W),33,87,2,♣,finished,2026-05-18T17:07:25.980950+00:00
59,INPROC_E54239,1,10,team2,Team 2 (E/W),49,71,22,♥,finished,2026-05-18T17:07:25.998439+00:00
60,INPROC_40615A,1,10,team2,Team 2 (E/W),49,71,15,♦,finished,2026-05-18T17:07:26.015941+00:00
61,INPROC_71B5EA,1,10,team2,Team 2 (E/W),44,76,17,♦,finished,2026-05-18T17:07:26.031202+00:00
62,INPROC_6AD174,1,10,team2,Team 2 (E/W),56,64,31,♠,finished,2026-05-18T17:07:26.046683+00:00
63,INPROC_BDDF2D,1,10,team2,Team 2 (E/W),46,74,31,♠,finished,2026-05-18T17:07:26.065469+00:00
64,INPROC_5E93AB,1,10,team2,Team 2 (E/W),51,69,34,♠,finished,2026-05-18T17:07:26.084060+00:00
65,INPROC_933328,1,10,team1,Team 1 (N/S),78,42,9,♣,finished,2026-05-18T17:07:26.100347+00:00
66,INPROC_AFFDA0,1,10,team1,Team 1 (N/S),77,43,20,♥,finished,2026-05-18T17:07:26.116733+00:00
67,INPROC_BC0652,1,10,team1,Team 1 (N/S),62,58,18,♦,finished,2026-05-18T17:07:26.131937+00:00
68,INPROC_57F50A,1,10,team1,Team 1 (N/S),64,56,28,♥,finished,2026-05-18T17:07:26.148180+00:00
69,INPROC_D1CBAA,1,10,team2,Team 2 (E/W),43,77,19,♦,finished,2026-05-18T17:07:26.163716+00:00
