game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_F1AE47,1,10,team1,Team 1 (N/S),73,47,18,♦,finished,2026-05-17T19:17:23.851797+00:00
2,INPROC_4025B2,1,10,team2,Team 2 (E/W),19,101,21,♥,finished,2026-05-17T19:17:23.866129+00:00
3,INPROC_E05719,1,10,team1,Team 1 (N/S),69,51,20,♥,finished,2026-05-17T19:17:23.879929+00:00
4,INPROC_251296,1,10,team2,Team 2 (E/W),47,73,36,♠,finished,2026-05-17T19:17:23.893483+00:00
5,INPROC_02B944,1,10,team2,Team 2 (E/W),38,82,13,♦,finished,2026-05-17T19:17:23.907987+00:00
6,INPROC_632842,1,10,team1,Team 1 (N/S),80,40,14,♦,finished,2026-05-17T19:17:23.922579+00:00
7,INPROC_1C53E8,1,10,team1,Team 1 (N/S),96,24,1,♣,finished,2026-05-17T19:17:23.938520+00:00
8,INPROC_6F8B16,1,10,team1,Team 1 (N/S),87,33,24,♥,finished,2026-05-17T19:17:23.955776+00:00
9,INPROC_8A0276,1,10,team1,Team 1 (N/S),90,30,23,♥,finished,2026-05-17T19:17:23.972206+00:00
10,INPROC_1EB12A,1,10,team2,Team 2 (E/W),52,68,28,♥,finished,2026-05-17T19:17:23.989099+00:00
11,INPROC_0E2D2D,1,10,team2,Team 2 (E/W),18,102,37,♠,finished,2026-05-17T19:17:24.005262+00:00
12,INPROC_D61389,1,10,team2,Team 2 (E/W),49,71,36,♠,finished,2026-05-17T19:17:24.020607+00:00
13,INPROC_EB8284,1,10,team1,Team 1 (N/S),85,35,36,♠,finished,2026-05-17T19:17:24.035770+00:00
14,INPROC_E83368,1,10,team1,Team 1 (N/S),73,47,7,♣,finished,2026-05-17T19:17:24.051278+00:00
15,INPROC_C1982A,1,10,team2,Team 2 (E/W),28,92,2,♣,finished,2026-05-17T19:17:24.066648+00:00
16,INPROC_7F7CB3,1,10,team2,Team 2 (E/W),39,81,11,♦,finished,2026-05-17T19:17:24.083493+00:00
17,INPROC_D0A625,1,10,team1,Team 1 (N/S),102,18,1,♣,finished,2026-05-17T19:17:24.097434+00:00
18,INPROC_D355D5,1,10,team1,Team 1 (N/S),63,57,32,♠,finished,2026-05-17T19:17:24.113808+00:00
19,INPROC_B80DE4,1,10,team2,Team 2 (E/W),53,67,36,♠,finished,2026-05-17T19:17:24.126049+00:00
20,INPROC_48CC63,1,10,team1,Team 1 (N/S),71,49,1,♣,finished,2026-05-17T19:17:24.141504+00:00
21,INPROC_63753C,1,10,team2,Team 2 (E/W),58,62,18,♦,finished,2026-05-17T19:17:24.158050+00:00
22,INPROC_9E559A,1,10,team2,Team 2 (E/W),52,68,16,♦,finished,2026-05-17T19:17:24.172749+00:00
23,INPROC_618A3F,1,10,team2,Team 2 (E/W),36,84,23,♥,finished,2026-05-17T19:17:24.188428+00:00
24,INPROC_8BE326,1,10,team2,Team 2 (E/W),56,64,12,♦,finished,2026-05-17T19:17:24.203691+00:00
25,INPROC_A48CBD,1,10,team1,Team 1 (N/S),71,49,30,♠,finished,2026-05-17T19:17:24.219149+00:00
26,INPROC_C31336,1,10,team2,Team 2 (E/W),34,86,25,♥,finished,2026-05-17T19:17:24.235821+00:00
27,INPROC_9AA72D,1,10,team1,Team 1 (N/S),76,44,0,♣,finished,2026-05-17T19:17:24.253944+00:00
28,INPROC_D26487,1,10,team2,Team 2 (E/W),44,76,37,♠,finished,2026-05-17T19:17:24.269965+00:00
29,INPROC_8335E9,1,10,team2,Team 2 (E/W),6,114,32,♠,finished,2026-05-17T19:17:24.287356+00:00
30,INPROC_4C3F80,1,10,team1,Team 1 (N/S),92,28,23,♥,finished,2026-05-17T19:17:24.301861+00:00
31,INPROC_4E4B7D,1,10,team1,Team 1 (N/S),80,40,2,♣,finished,2026-05-17T19:17:24.318364+00:00
32,INPROC_9D256F,1,10,team2,Team 2 (E/W),44,76,22,♥,finished,2026-05-17T19:17:24.334966+00:00
33,INPROC_08213A,1,10,team2,Team 2 (E/W),48,72,25,♥,finished,2026-05-17T19:17:24.351149+00:00
34,INPROC_C1809A,1,10,team2,Team 2 (E/W),36,84,11,♦,finished,2026-05-17T19:17:24.365686+00:00
35,INPROC_E0AD8A,1,10,team2,Team 2 (E/W),44,76,32,♠,finished,2026-05-17T19:17:24.381330+00:00
36,INPROC_8DB7E3,1,10,team1,Team 1 (N/S),88,32,3,♣,finished,2026-05-17T19:17:24.392587+00:00
