game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played,round_actions
1,INPROC_A33747,1,83,team2,0,0,37,83,4,?:Positions.SOUTH:35 | ?:Positions.EAST:30 | ?:Positions.NORTH:32 | ?:Positions.WEST:38,"[{""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""35"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [1, 2, 6, 8, 10, 11, 17, 18, 34, 35], ""legal_moves"": [1, 2, 6, 8, 10, 11, 17, 18, 34, 35]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""30"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""35"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [3, 9, 16, 20, 22, 28, 30, 33, 36, 37], ""legal_moves"": [30, 33, 36, 37]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""32"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""35"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""30"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [5, 7, 13, 15, 23, 24, 25, 26, 27, 32], ""legal_moves"": [32]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""38"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""35"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""30"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""32"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [0, 4, 12, 14, 19, 21, 29, 31, 38, 39], ""legal_moves"": [31, 38, 39]}]"
1,INPROC_A33747,2,71,team2,0,12,37,83,4,?:Positions.WEST:39 | ?:Positions.SOUTH:34 | ?:Positions.EAST:33 | ?:Positions.NORTH:26,"[{""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""39"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [0, 4, 12, 14, 19, 21, 29, 31, 39], ""legal_moves"": [0, 4, 12, 14, 19, 21, 29, 31, 39]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""34"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""39"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [1, 2, 6, 8, 10, 11, 17, 18, 34], ""legal_moves"": [34]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""33"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""39"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""34"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [3, 9, 16, 20, 22, 28, 33, 36, 37], ""legal_moves"": [33, 36, 37]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""26"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""39"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""34"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""33"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [5, 7, 13, 15, 23, 24, 25, 26, 27], ""legal_moves"": [5, 7, 13, 15, 23, 24, 25, 26, 27]}]"
1,INPROC_A33747,3,57,team2,0,26,37,83,4,?:Positions.WEST:4 | ?:Positions.SOUTH:1 | ?:Positions.EAST:3 | ?:Positions.NORTH:5,"[{""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""4"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [0, 4, 12, 14, 19, 21, 29, 31], ""legal_moves"": [0, 4, 12, 14, 19, 21, 29, 31]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""1"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""4"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [1, 2, 6, 8, 10, 11, 17, 18], ""legal_moves"": [1, 2, 6, 8]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""3"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""4"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""1"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [3, 9, 16, 20, 22, 28, 36, 37], ""legal_moves"": [3, 9]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""5"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""4"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""1"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""3"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [5, 7, 13, 15, 23, 24, 25, 27], ""legal_moves"": [5, 7]}]"
1,INPROC_A33747,4,57,team2,2,26,37,83,4,?:Positions.NORTH:27 | ?:Positions.WEST:29 | ?:Positions.SOUTH:10 | ?:Positions.EAST:20,"[{""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""27"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [7, 13, 15, 23, 24, 25, 27], ""legal_moves"": [7, 13, 15, 23, 24, 25, 27]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""29"", ""cards_in_trick"": [{""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""27"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [0, 12, 14, 19, 21, 29, 31], ""legal_moves"": [21, 29]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""10"", ""cards_in_trick"": [{""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""27"", ""position"": ""Positions.NORTH""}, {""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""29"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 6, 8, 10, 11, 17, 18], ""legal_moves"": [2, 6, 8, 10, 11, 17, 18]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""20"", ""cards_in_trick"": [{""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""27"", ""position"": ""Positions.NORTH""}, {""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""29"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""10"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [9, 16, 20, 22, 28, 36, 37], ""legal_moves"": [20, 22, 28]}]"
1,INPROC_A33747,5,57,team2,17,26,37,83,4,?:Positions.SOUTH:6 | ?:Positions.EAST:9 | ?:Positions.NORTH:7 | ?:Positions.WEST:0,"[{""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""6"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [2, 6, 8, 11, 17, 18], ""legal_moves"": [2, 6, 8, 11, 17, 18]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""9"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""6"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [9, 16, 22, 28, 36, 37], ""legal_moves"": [9]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""7"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""6"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""9"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [7, 13, 15, 23, 24, 25], ""legal_moves"": [7]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""0"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""6"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""9"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""7"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [0, 12, 14, 19, 21, 31], ""legal_moves"": [0]}]"
1,INPROC_A33747,6,39,team2,17,44,37,83,4,?:Positions.EAST:37 | ?:Positions.NORTH:23 | ?:Positions.WEST:31 | ?:Positions.SOUTH:11,"[{""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""37"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [16, 22, 28, 36, 37], ""legal_moves"": [16, 22, 28, 36, 37]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""23"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""37"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 1, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [13, 15, 23, 24, 25], ""legal_moves"": [13, 15, 23, 24, 25]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""31"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""37"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""23"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 2, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [12, 14, 19, 21, 31], ""legal_moves"": [31]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""11"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""37"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""23"", ""position"": ""Positions.NORTH""}, {""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""31"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 3, ""lead_suit"": ""♠"", ""trump"": ""♦"", ""hand_before"": [2, 8, 11, 17, 18], ""legal_moves"": [2, 8, 11, 17, 18]}]"
1,INPROC_A33747,7,39,team2,21,44,37,83,4,?:Positions.SOUTH:8 | ?:Positions.EAST:16 | ?:Positions.NORTH:13 | ?:Positions.WEST:21,"[{""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""8"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [2, 8, 17, 18], ""legal_moves"": [2, 8, 17, 18]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""16"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""8"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 1, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [16, 22, 28, 36], ""legal_moves"": [16, 22, 28, 36]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""13"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""8"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""16"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 2, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [13, 15, 24, 25], ""legal_moves"": [13, 15, 24, 25]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""21"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""8"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""16"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""13"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 3, ""lead_suit"": ""♣"", ""trump"": ""♦"", ""hand_before"": [12, 14, 19, 21], ""legal_moves"": [12, 14, 19, 21]}]"
1,INPROC_A33747,8,26,team2,21,57,37,83,4,?:Positions.EAST:28 | ?:Positions.NORTH:25 | ?:Positions.WEST:14 | ?:Positions.SOUTH:17,"[{""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""28"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [22, 28, 36], ""legal_moves"": [22, 28, 36]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""25"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""28"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 1, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [15, 24, 25], ""legal_moves"": [24, 25]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""14"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""28"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""25"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 2, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [12, 14, 19], ""legal_moves"": [12, 14, 19]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""17"", ""cards_in_trick"": [{""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""28"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""25"", ""position"": ""Positions.NORTH""}, {""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""14"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 3, ""lead_suit"": ""♥"", ""trump"": ""♦"", ""hand_before"": [2, 17, 18], ""legal_moves"": [2, 17, 18]}]"
1,INPROC_A33747,9,26,team2,37,57,37,83,4,?:Positions.SOUTH:18 | ?:Positions.EAST:22 | ?:Positions.NORTH:15 | ?:Positions.WEST:19,"[{""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""18"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [2, 18], ""legal_moves"": [2, 18]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""22"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""18"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 1, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [22, 36], ""legal_moves"": [22, 36]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""15"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""18"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""22"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 2, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [15, 24], ""legal_moves"": [15]}, {""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""19"", ""cards_in_trick"": [{""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""18"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""22"", ""position"": ""Positions.EAST""}, {""player_id"": ""db79f7ea"", ""player_name"": ""Rita"", ""card"": ""15"", ""position"": ""Positions.NORTH""}], ""position_in_trick"": 3, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [12, 19], ""legal_moves"": [12, 19]}]"
1,INPROC_A33747,10,3,team2,37,80,37,83,4,?:Positions.WEST:12 | ?:Positions.SOUTH:2 | ?:Positions.EAST:36 | ?:Positions.NORTH:24,"[{""player"": ""Serana"", ""position"": ""Positions.WEST"", ""card"": ""12"", ""cards_in_trick"": [], ""position_in_trick"": 0, ""lead_suit"": null, ""trump"": ""♦"", ""hand_before"": [12], ""legal_moves"": [12]}, {""player"": ""Ava"", ""position"": ""Positions.SOUTH"", ""card"": ""2"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""12"", ""position"": ""Positions.WEST""}], ""position_in_trick"": 1, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [2], ""legal_moves"": [2]}, {""player"": ""Alyssa"", ""position"": ""Positions.EAST"", ""card"": ""36"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""12"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""2"", ""position"": ""Positions.SOUTH""}], ""position_in_trick"": 2, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [36], ""legal_moves"": [36]}, {""player"": ""Rita"", ""position"": ""Positions.NORTH"", ""card"": ""24"", ""cards_in_trick"": [{""player_id"": ""87c5b0fb"", ""player_name"": ""Serana"", ""card"": ""12"", ""position"": ""Positions.WEST""}, {""player_id"": ""25375604"", ""player_name"": ""Ava"", ""card"": ""2"", ""position"": ""Positions.SOUTH""}, {""player_id"": ""5a9e9533"", ""player_name"": ""Alyssa"", ""card"": ""36"", ""position"": ""Positions.EAST""}], ""position_in_trick"": 3, ""lead_suit"": ""♦"", ""trump"": ""♦"", ""hand_before"": [24], ""legal_moves"": [24]}]"
