game_number,game_id,match_number,rounds_played,winner_team,winner_label,team1_score,team2_score,trump_card,trump_suit,phase,finished_at
1,INPROC_A33747,1,10,team2,Team 2 (E/W),37,83,12,♦,finished,2026-05-11T16:21:08.524568+00:00
2,INPROC_C38141,1,10,team2,Team 2 (E/W),58,62,10,♦,finished,2026-05-11T16:21:08.541449+00:00
3,INPROC_B973AF,1,10,team1,Team 1 (N/S),101,19,36,♠,finished,2026-05-11T16:21:08.561837+00:00
4,INPROC_BDB631,1,10,team2,Team 2 (E/W),42,78,15,♦,finished,2026-05-11T16:21:08.582101+00:00
5,INPROC_ADBBB1,1,10,team2,Team 2 (E/W),14,106,30,♠,finished,2026-05-11T16:21:08.603181+00:00
6,INPROC_62540A,1,10,team1,Team 1 (N/S),78,42,17,♦,finished,2026-05-11T16:21:08.624435+00:00
7,INPROC_575A74,1,10,team1,Team 1 (N/S),108,12,10,♦,finished,2026-05-11T16:21:08.645527+00:00
8,INPROC_846BAB,1,10,team2,Team 2 (E/W),42,78,13,♦,finished,2026-05-11T16:21:08.665046+00:00
9,INPROC_1F2711,1,10,team1,Team 1 (N/S),90,30,30,♠,finished,2026-05-11T16:21:08.685500+00:00
10,INPROC_9D09C2,1,10,team1,Team 1 (N/S),71,49,39,♠,finished,2026-05-11T16:21:08.704241+00:00
11,INPROC_1511E8,1,10,team2,Team 2 (E/W),7,113,24,♥,finished,2026-05-11T16:21:08.723208+00:00
12,INPROC_6D0910,1,10,team2,Team 2 (E/W),51,69,37,♠,finished,2026-05-11T16:21:08.741996+00:00
13,INPROC_300402,1,10,team2,Team 2 (E/W),47,73,39,♠,finished,2026-05-11T16:21:08.759390+00:00
14,INPROC_12FF4C,1,10,team2,Team 2 (E/W),35,85,8,♣,finished,2026-05-11T16:21:08.778259+00:00
15,INPROC_5453A0,1,10,team2,Team 2 (E/W),44,76,12,♦,finished,2026-05-11T16:21:08.797005+00:00
16,INPROC_236BC2,1,10,team1,Team 1 (N/S),67,53,25,♥,finished,2026-05-11T16:21:08.814200+00:00
17,INPROC_DEAD7D,1,10,team2,Team 2 (E/W),54,66,1,♣,finished,2026-05-11T16:21:08.833034+00:00
18,INPROC_B78B12,1,10,team2,Team 2 (E/W),11,109,35,♠,finished,2026-05-11T16:21:08.850275+00:00
19,INPROC_8BD8F9,1,10,team2,Team 2 (E/W),17,103,2,♣,finished,2026-05-11T16:21:08.869373+00:00
20,INPROC_1B325F,1,10,team1,Team 1 (N/S),70,50,19,♦,finished,2026-05-11T16:21:08.888499+00:00
21,INPROC_E84D22,1,10,team2,Team 2 (E/W),58,62,3,♣,finished,2026-05-11T16:21:08.910952+00:00
22,INPROC_E12576,1,10,team2,Team 2 (E/W),51,69,32,♠,finished,2026-05-11T16:21:08.929517+00:00
23,INPROC_8590BF,1,10,team2,Team 2 (E/W),44,76,18,♦,finished,2026-05-11T16:21:08.948657+00:00
24,INPROC_939CDB,1,10,team1,Team 1 (N/S),72,48,0,♣,finished,2026-05-11T16:21:08.967004+00:00
25,INPROC_9E8607,1,10,team1,Team 1 (N/S),69,51,23,♥,finished,2026-05-11T16:21:08.984400+00:00
26,INPROC_4A3B64,1,10,team1,Team 1 (N/S),63,57,9,♣,finished,2026-05-11T16:21:09.003476+00:00
27,INPROC_13A2E0,1,10,team2,Team 2 (E/W),58,62,0,♣,finished,2026-05-11T16:21:09.021138+00:00
28,INPROC_35E590,1,10,team1,Team 1 (N/S),79,41,33,♠,finished,2026-05-11T16:21:09.040568+00:00
29,INPROC_A7268B,1,10,team1,Team 1 (N/S),61,59,27,♥,finished,2026-05-11T16:21:09.058436+00:00
30,INPROC_D29488,1,10,team2,Team 2 (E/W),33,87,18,♦,finished,2026-05-11T16:21:09.078444+00:00
31,INPROC_46266A,1,10,team1,Team 1 (N/S),66,54,10,♦,finished,2026-05-11T16:21:09.099518+00:00
32,INPROC_003240,1,10,team1,Team 1 (N/S),75,45,25,♥,finished,2026-05-11T16:21:09.120308+00:00
33,INPROC_B2D324,1,10,team2,Team 2 (E/W),27,93,14,♦,finished,2026-05-11T16:21:09.140224+00:00
34,INPROC_80CAEE,1,10,team1,Team 1 (N/S),84,36,31,♠,finished,2026-05-11T16:21:09.161901+00:00
35,INPROC_38C7C1,1,10,team1,Team 1 (N/S),64,56,4,♣,finished,2026-05-11T16:21:09.182615+00:00
36,INPROC_D82CEF,1,10,team2,Team 2 (E/W),48,72,29,♥,finished,2026-05-11T16:21:09.203758+00:00
37,INPROC_584AD3,1,10,team2,Team 2 (E/W),51,69,26,♥,finished,2026-05-11T16:21:09.224731+00:00
38,INPROC_D2F999,1,10,team1,Team 1 (N/S),79,41,27,♥,finished,2026-05-11T16:21:09.246281+00:00
39,INPROC_3ACA4A,1,10,team1,Team 1 (N/S),65,55,1,♣,finished,2026-05-11T16:21:09.272001+00:00
40,INPROC_3AFB81,1,10,team1,Team 1 (N/S),62,58,18,♦,finished,2026-05-11T16:21:09.298389+00:00
41,INPROC_73934F,1,10,team1,Team 1 (N/S),75,45,33,♠,finished,2026-05-11T16:21:09.323744+00:00
42,INPROC_8B0CE0,1,10,team2,Team 2 (E/W),53,67,17,♦,finished,2026-05-11T16:21:09.349567+00:00
43,INPROC_69E092,1,10,team1,Team 1 (N/S),63,57,12,♦,finished,2026-05-11T16:21:09.374492+00:00
44,INPROC_7A375B,1,10,team2,Team 2 (E/W),40,80,7,♣,finished,2026-05-11T16:21:09.399101+00:00
45,INPROC_1A766E,1,10,team1,Team 1 (N/S),70,50,34,♠,finished,2026-05-11T16:21:09.425314+00:00
46,INPROC_40C375,1,10,team1,Team 1 (N/S),62,58,32,♠,finished,2026-05-11T16:21:09.450997+00:00
47,INPROC_402240,1,10,team2,Team 2 (E/W),59,61,32,♠,finished,2026-05-11T16:21:09.474175+00:00
48,INPROC_9B330F,1,10,team2,Team 2 (E/W),17,103,6,♣,finished,2026-05-11T16:21:09.515375+00:00
49,INPROC_477BA0,1,10,team1,Team 1 (N/S),107,13,35,♠,finished,2026-05-11T16:21:09.560032+00:00
50,INPROC_CED8FA,1,10,team2,Team 2 (E/W),55,65,32,♠,finished,2026-05-11T16:21:09.589222+00:00
51,INPROC_D12448,1,10,team2,Team 2 (E/W),47,73,8,♣,finished,2026-05-11T16:21:09.610012+00:00
52,INPROC_DD7C83,1,10,team2,Team 2 (E/W),55,65,34,♠,finished,2026-05-11T16:21:09.639772+00:00
53,INPROC_38CC65,1,10,team1,Team 1 (N/S),64,56,8,♣,finished,2026-05-11T16:21:09.663825+00:00
54,INPROC_FAF937,1,10,team2,Team 2 (E/W),38,82,0,♣,finished,2026-05-11T16:21:09.686925+00:00
55,INPROC_352C95,1,10,team2,Team 2 (E/W),31,89,4,♣,finished,2026-05-11T16:21:09.708623+00:00
56,INPROC_C2D7F3,1,10,team1,Team 1 (N/S),110,10,16,♦,finished,2026-05-11T16:21:09.729811+00:00
57,INPROC_367B96,1,10,team2,Team 2 (E/W),37,83,35,♠,finished,2026-05-11T16:21:09.752211+00:00
58,INPROC_8FCD09,1,10,team2,Team 2 (E/W),50,70,13,♦,finished,2026-05-11T16:21:09.775262+00:00
59,INPROC_88BEB1,1,10,team2,Team 2 (E/W),33,87,25,♥,finished,2026-05-11T16:21:09.799151+00:00
60,INPROC_CFD956,1,10,team2,Team 2 (E/W),49,71,37,♠,finished,2026-05-11T16:21:09.819351+00:00
61,INPROC_40C41E,1,10,team1,Team 1 (N/S),63,57,38,♠,finished,2026-05-11T16:21:09.839222+00:00
62,INPROC_9677EC,1,10,team2,Team 2 (E/W),57,63,27,♥,finished,2026-05-11T16:21:09.859027+00:00
63,INPROC_F4B8EC,1,10,team1,Team 1 (N/S),65,55,13,♦,finished,2026-05-11T16:21:09.881878+00:00
64,INPROC_60DD55,1,10,team1,Team 1 (N/S),93,27,1,♣,finished,2026-05-11T16:21:09.901885+00:00
65,INPROC_C2C7E9,1,10,team1,Team 1 (N/S),69,51,29,♥,finished,2026-05-11T16:21:09.921653+00:00
66,INPROC_B4C300,1,10,team2,Team 2 (E/W),16,104,30,♠,finished,2026-05-11T16:21:09.941371+00:00
67,INPROC_C519C1,1,10,team2,Team 2 (E/W),52,68,18,♦,finished,2026-05-11T16:21:09.960700+00:00
68,INPROC_6E604A,1,10,team1,Team 1 (N/S),61,59,28,♥,finished,2026-05-11T16:21:09.980589+00:00
69,INPROC_78C52C,1,10,team2,Team 2 (E/W),36,84,20,♥,finished,2026-05-11T16:21:09.999810+00:00
70,INPROC_CE1444,1,10,team1,Team 1 (N/S),105,15,4,♣,finished,2026-05-11T16:21:10.019811+00:00
71,INPROC_9C6C8E,1,10,team1,Team 1 (N/S),68,52,5,♣,finished,2026-05-11T16:21:10.040613+00:00
72,INPROC_ABFB32,1,10,team1,Team 1 (N/S),61,59,28,♥,finished,2026-05-11T16:21:10.060407+00:00
73,INPROC_FF8F12,1,10,team1,Team 1 (N/S),82,38,4,♣,finished,2026-05-11T16:21:10.080601+00:00
74,INPROC_69E68A,1,10,team1,Team 1 (N/S),81,39,13,♦,finished,2026-05-11T16:21:10.100613+00:00
75,INPROC_A5AC18,1,10,team1,Team 1 (N/S),73,47,27,♥,finished,2026-05-11T16:21:10.121456+00:00
76,INPROC_62555F,1,10,team2,Team 2 (E/W),54,66,19,♦,finished,2026-05-11T16:21:10.142447+00:00
77,INPROC_C6531C,1,10,team2,Team 2 (E/W),58,62,24,♥,finished,2026-05-11T16:21:10.162619+00:00
78,INPROC_98AFB6,1,10,team2,Team 2 (E/W),21,99,12,♦,finished,2026-05-11T16:21:10.184945+00:00
79,INPROC_A2E1B4,1,10,team1,Team 1 (N/S),66,54,6,♣,finished,2026-05-11T16:21:10.208659+00:00
80,INPROC_C9F05B,1,10,team1,Team 1 (N/S),69,51,1,♣,finished,2026-05-11T16:21:10.232596+00:00
81,INPROC_ACF558,1,10,team1,Team 1 (N/S),71,49,37,♠,finished,2026-05-11T16:21:10.255377+00:00
82,INPROC_75B449,1,10,team1,Team 1 (N/S),61,59,2,♣,finished,2026-05-11T16:21:10.276187+00:00
83,INPROC_CB652A,1,10,team1,Team 1 (N/S),68,52,39,♠,finished,2026-05-11T16:21:10.298451+00:00
84,INPROC_EA594B,1,10,team2,Team 2 (E/W),37,83,4,♣,finished,2026-05-11T16:21:10.319005+00:00
85,INPROC_09566F,1,10,team2,Team 2 (E/W),56,64,38,♠,finished,2026-05-11T16:21:10.339237+00:00
86,INPROC_FD555F,1,10,team2,Team 2 (E/W),26,94,33,♠,finished,2026-05-11T16:21:10.360130+00:00
87,INPROC_06578A,1,10,team1,Team 1 (N/S),67,53,21,♥,finished,2026-05-11T16:21:10.380929+00:00
88,INPROC_6F7582,1,10,team1,Team 1 (N/S),66,54,28,♥,finished,2026-05-11T16:21:10.400860+00:00
89,INPROC_A90415,1,10,team1,Team 1 (N/S),70,50,0,♣,finished,2026-05-11T16:21:10.422528+00:00
