game_id,round,player,position,card_played,cards_in_trick,position_in_trick,lead_suit,trump,team_scores,hand_before,legal_moves
F3316F,1,S,SOUTH,13,[],0,,♠,"{""team1"":0,""team2"":0}",[],[]
F3316F,1,E,EAST,19,[13],1,♦,♠,"{""team1"":0,""team2"":0}","[1,7,19,20,25,28,29,30,34,37]",[19]
F3316F,1,N,NORTH,10,"[13,19]",2,♦,♠,"{""team1"":0,""team2"":0}","[3,8,10,11,16,21,23,24,27,36]","[10,11,16]"
F3316F,1,W,WEST,15,"[13,19,10]",3,♦,♠,"{""team1"":0,""team2"":0}","[4,5,14,17,18,31,33,35,38]","[14,17,18]"
F3316F,2,E,EAST,7,[],0,♣,♠,"{""team1"":0,""team2"":13}","[1,20,25,28,29,30,34,37]","[1,20,25,28,29,30,34,37]"
F3316F,2,N,NORTH,3,[7],1,♣,♠,"{""team1"":0,""team2"":13}","[3,8,11,16,21,23,24,27,36]","[3,8]"
F3316F,2,W,WEST,5,"[7,3]",2,♣,♠,"{""team1"":0,""team2"":13}","[4,14,17,18,31,33,35,38]",[4]
F3316F,2,S,SOUTH,0,"[7,3,5]",3,♣,♠,"{""team1"":0,""team2"":13}","[0,2,6,9,12,22,26,32,39]","[0,2,6,9]"
F3316F,3,E,EAST,25,[],0,♥,♠,"{""team1"":0,""team2"":19}","[1,20,25,28,29,30,34,37]","[1,20,25,28,29,30,34,37]"
F3316F,3,N,NORTH,21,[25],1,♥,♠,"{""team1"":0,""team2"":19}","[8,11,16,21,23,24,27,36]","[21,23,24,27]"
F3316F,3,W,WEST,17,"[25,21]",2,♥,♠,"{""team1"":0,""team2"":19}","[4,14,18,31,33,35,38]","[4,14,18,31,33,35,38]"
F3316F,3,S,SOUTH,22,"[25,21,17]",3,♥,♠,"{""team1"":0,""team2"":19}","[2,6,9,12,22,26,32,39]","[22,26]"
F3316F,4,E,EAST,28,[],0,♥,♠,"{""team1"":0,""team2"":25}","[1,20,29,30,34,37]","[1,20,29,30,34,37]"
F3316F,4,N,NORTH,23,[28],1,♥,♠,"{""team1"":0,""team2"":25}","[8,11,16,23,24,27,36]","[23,24,27]"
F3316F,4,W,WEST,31,"[28,23]",2,♥,♠,"{""team1"":0,""team2"":25}","[4,14,18,33,35,38]","[4,14,18,33,35,38]"
